accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,model,strategy,source,n_samples,cares_score
0.55,0.51171875,0.591015625,0.5558223289315727,0.5840867992766727,GPT-4o,zero-shot,BioREASONC-YesNo,200,0.513237664245328
0.03,0.0194174757281553,0.058252427184466,0.3333333333333333,0.01,GPT-4o,zero-shot,BioREASONC-MCQ,200,0.0265631323454143
0.57,0.5305164319248825,0.5373239436619719,0.5789180920595188,0.5568922305764411,GPT-4o,zero-shot,PubMedQA,200,
0.82,0.0038215661785455,0.0469380181222286,0.0025214720866894,0.0081495656943227,GPT-4o,zero-shot,MedQA,200,
0.72,0.7017771216121466,0.7151011255525753,0.7209527400703871,0.6987545842430469,GPT-4o,zero-shot,MedMCQA,200,
0.32,0.3156199677938809,0.283864734299517,0.5764809902740937,0.5521398432790837,GPT-4o,few-shot,BioREASONC-YesNo,200,0.3045273386742149
0.085,0.0313364055299539,0.1566820276497696,0.2,0.017,GPT-4o,few-shot,BioREASONC-MCQ,200,0.0901249133147988
0.515,0.3333154525623145,0.494846314773093,0.369281045751634,0.3510442773600668,GPT-4o,few-shot,PubMedQA,200,
0.31,0.0046598639455782,0.056595238095238,0.004184451398511,0.006588999236058,GPT-4o,few-shot,MedQA,200,
0.435,0.3452982202982202,0.5235804473304473,0.4619341773297581,0.2806870180896252,GPT-4o,few-shot,MedMCQA,200,
0.34,0.226822274762312,0.3292192766235726,0.3704413472706155,0.3590516375326502,GPT-4o,cot,BioREASONC-YesNo,200,0.3197062714430231
0.565,0.1805111821086261,0.7220447284345047,0.25,0.14125,GPT-4o,cot,BioREASONC-MCQ,200,0.5303139636102372
0.565,0.3684019684019683,0.5565967365967366,0.3769287559985234,0.3717627401837928,GPT-4o,cot,PubMedQA,200,
0.92,0.004837523211315,0.0601887547522177,0.0032037483510209,0.0101720530109276,GPT-4o,cot,MedQA,200,
0.755,0.7455248216170298,0.7567962202969042,0.742640500752203,0.7509888230089758,GPT-4o,cot,MedMCQA,200,
0.595,0.5713265063110264,0.6297547035008335,0.6284542969936229,0.6912296564195298,GPT-4o,structured-cot,BioREASONC-YesNo,200,0.5625691957439546
0.54,0.1753246753246753,0.7012987012987013,0.25,0.135,GPT-4o,structured-cot,BioREASONC-MCQ,200,0.5179810807355805
0.575,0.5429001640181764,0.5489567368449356,0.5818607068607069,0.5631578947368421,GPT-4o,structured-cot,PubMedQA,200,
0.835,0.0049950671243309,0.0600818403259953,0.003305221639428,0.0104507598113736,GPT-4o,structured-cot,MedQA,200,
0.7,0.6899645953409395,0.7020585117789419,0.6886358533339104,0.6943827860781712,GPT-4o,structured-cot,MedMCQA,200,
0.745,0.5633374716383407,0.7266929234984374,0.57884654164146,0.5589210367691381,GPT-4o-Mini,zero-shot,BioREASONC-YesNo,200,0.7010769572593296
0.075,0.0465116279069767,0.1395348837209302,0.3333333333333333,0.0249999999999999,GPT-4o-Mini,zero-shot,BioREASONC-MCQ,200,0.0711512473537885
0.555,0.4676874308442238,0.4784667603696283,0.5852272727272727,0.5360902255639097,GPT-4o-Mini,zero-shot,PubMedQA,200,
0.745,0.004476223363795,0.0528875788094653,0.002972375734524,0.0093359326095899,GPT-4o-Mini,zero-shot,MedQA,200,
0.63,0.6254049840852552,0.6329234321532161,0.6331879718192477,0.6303415350257574,GPT-4o-Mini,zero-shot,MedMCQA,200,
0.385,0.384245700983705,0.3967455132537358,0.5444654683065279,0.54957805907173,GPT-4o-Mini,few-shot,BioREASONC-YesNo,200,0.3633457031533468
0.355,0.1047970479704797,0.5239852398523985,0.2,0.071,GPT-4o-Mini,few-shot,BioREASONC-MCQ,200,0.3434233538942859
0.515,0.4536904057897552,0.4445397200867336,0.5685215946843853,0.5330827067669173,GPT-4o-Mini,few-shot,PubMedQA,200,
0.11,0.0014748409485251,0.0153036437246963,0.0041666666666666,0.0009240759240759,GPT-4o-Mini,few-shot,MedQA,200,
0.31,0.2691133733767756,0.4079959761639795,0.4025077160493827,0.2056707859449843,GPT-4o-Mini,few-shot,MedMCQA,200,
0.495,0.4771038803033832,0.5332106339468303,0.558478920389162,0.5842374924653406,GPT-4o-Mini,cot,BioREASONC-YesNo,200,0.4686495492369538
0.24,0.0967741935483871,0.3870967741935484,0.25,0.06,GPT-4o-Mini,cot,BioREASONC-MCQ,200,0.2257866249360222
0.535,0.5146011117200344,0.5195764503249041,0.5298713235294117,0.5260651629072682,GPT-4o-Mini,cot,PubMedQA,200,
0.815,0.0045490099607108,0.0520123967423792,0.0030006759233167,0.0098635379965303,GPT-4o-Mini,cot,MedQA,200,
0.64,0.630909090909091,0.6434181818181819,0.6309706962170013,0.6346169213864749,GPT-4o-Mini,cot,MedMCQA,200,
0.67,0.6071428571428571,0.6982857142857142,0.6116015132408574,0.6600361663652803,GPT-4o-Mini,structured-cot,BioREASONC-YesNo,200,0.6308743932035917
0.76,0.2878787878787879,0.8636363636363636,0.3333333333333333,0.2533333333333333,GPT-4o-Mini,structured-cot,BioREASONC-MCQ,200,0.7209993065183905
0.525,0.4830072651084325,0.4903744115806374,0.5164473684210527,0.51203007518797,GPT-4o-Mini,structured-cot,PubMedQA,200,
0.81,0.0047061872516877,0.0551676356589147,0.003118662316495,0.0101422447969762,GPT-4o-Mini,structured-cot,MedQA,200,
0.645,0.6311913120967135,0.6493181048088381,0.6324761127237541,0.6351115558599826,GPT-4o-Mini,structured-cot,MedMCQA,200,
0.44,0.4288045695634435,0.475185638514892,0.5296703296703297,0.5406871609403255,GPT-4.1,zero-shot,BioREASONC-YesNo,200,0.4164719678441756
0.495,0.1655518394648829,0.6622073578595317,0.25,0.12375,GPT-4.1,zero-shot,BioREASONC-MCQ,200,0.4733929657272063
0.57,0.5601023017902813,0.5634015345268542,0.5680000000000001,0.5639097744360902,GPT-4.1,zero-shot,PubMedQA,200,
0.915,0.0037053619592189,0.0496429280397022,0.0024926938625272,0.0076383548250555,GPT-4.1,zero-shot,MedQA,200,
0.775,0.7665394528051843,0.775239583166845,0.7714524133746996,0.7653452630677682,GPT-4.1,zero-shot,MedMCQA,200,
0.38,0.3794414973476128,0.3686437794014612,0.6111111111111112,0.5988547317661241,GPT-4.1,few-shot,BioREASONC-YesNo,200,0.3548075534708921
0.08,0.0296296296296296,0.1481481481481481,0.2,0.016,GPT-4.1,few-shot,BioREASONC-MCQ,200,0.0777920304401421
0.565,0.563154327031709,0.564574075468856,0.5634057971014492,0.5631578947368421,GPT-4.1,few-shot,PubMedQA,200,
0.405,0.0050109831166509,0.0611620775969962,0.0043626436081679,0.0083827936769113,GPT-4.1,few-shot,MedQA,200,
0.51,0.3552762703444079,0.544479443204427,0.4264021164021165,0.3194943300464726,GPT-4.1,few-shot,MedMCQA,200,
0.35,0.34993499349935,0.3461646164616462,0.5375,0.5361663652802893,GPT-4.1,cot,BioREASONC-YesNo,200,0.3320391543176798
0.37,0.1350364963503649,0.5401459854014599,0.25,0.0925,GPT-4.1,cot,BioREASONC-MCQ,200,0.3462694037884375
0.6,0.5951007186962244,0.5973276647433952,0.5985995263103696,0.5959899749373434,GPT-4.1,cot,PubMedQA,200,
0.94,0.0046387218921801,0.0579314720634729,0.0030766296054065,0.0098221710578883,GPT-4.1,cot,MedQA,200,
0.785,0.6251955727487643,0.7868850204169354,0.6266799075545284,0.6249658946587325,GPT-4.1,cot,MedMCQA,200,
0.63,0.5985243055555556,0.6637239583333333,0.6358543417366946,0.7046413502109705,GPT-4.1,structured-cot,BioREASONC-YesNo,200,0.5929270612815711
0.68,0.2023809523809523,0.8095238095238095,0.25,0.17,GPT-4.1,structured-cot,BioREASONC-MCQ,200,0.649848059164602
0.59,0.5602745602745602,0.5659909909909909,0.6004364009754846,0.5784461152882205,GPT-4.1,structured-cot,PubMedQA,200,
0.955,0.0049389723550383,0.0599552433724967,0.003268470659775,0.0105521077388085,GPT-4.1,structured-cot,MedQA,200,
0.765,0.7575364242499074,0.76613279417212,0.7577789925153477,0.7588982476418796,GPT-4.1,structured-cot,MedMCQA,200,
0.625,0.5636363636363637,0.6585454545454545,0.5779528369889816,0.6140747438215792,GPT-4.1-Mini,zero-shot,BioREASONC-YesNo,200,0.5929270612815711
0.025,0.016260162601626,0.048780487804878,0.3333333333333333,0.0083333333333333,GPT-4.1-Mini,zero-shot,BioREASONC-MCQ,200,0.0208710325571113
0.585,0.5510480054090602,0.5572210953346856,0.5966666666666667,0.5726817042606516,GPT-4.1-Mini,zero-shot,PubMedQA,200,
0.875,0.0048725497033865,0.0571272573655002,0.0032191120038589,0.0106534556662433,GPT-4.1-Mini,zero-shot,MedQA,200,
0.72,0.7118746866525114,0.7207953374504369,0.7130280338214675,0.7123609565192575,GPT-4.1-Mini,zero-shot,MedMCQA,200,
0.4,0.4,0.4,0.6027727546714888,0.6027727546714888,GPT-4.1-Mini,few-shot,BioREASONC-YesNo,200,0.3775759526241045
0.055,0.0173775671406003,0.1042654028436019,0.1666666666666666,0.0091666666666666,GPT-4.1-Mini,few-shot,BioREASONC-MCQ,200,0.0540749479888792
0.49,0.4615140956604371,0.4553215077605321,0.5037167184754696,0.5027568922305765,GPT-4.1-Mini,few-shot,PubMedQA,200,
0.11,0.0014533085961657,0.0157359307359307,0.0034013605442176,0.0009240759240759,GPT-4.1-Mini,few-shot,MedQA,200,
0.4,0.34511353698087,0.5255850944083565,0.5097222222222223,0.2612371629303004,GPT-4.1-Mini,few-shot,MedMCQA,200,
0.385,0.3848615938586182,0.3795098897251882,0.5985825768434464,0.5932790837854128,GPT-4.1-Mini,cot,BioREASONC-YesNo,200,0.3614483365572457
0.345,0.1282527881040892,0.5130111524163569,0.25,0.08625,GPT-4.1-Mini,cot,BioREASONC-MCQ,200,0.3282444211254778
0.605,0.5939451568965073,0.5972951093521112,0.6063368055555556,0.5982456140350877,GPT-4.1-Mini,cot,PubMedQA,200,
0.85,0.0041988314715587,0.051569264069264,0.0027997973668601,0.008500343753326,GPT-4.1-Mini,cot,MedQA,200,
0.74,0.4906403508960476,0.7439297606453293,0.497920483908856,0.4859178118355524,GPT-4.1-Mini,cot,MedMCQA,200,
0.605,0.5819110370193961,0.6388965626736525,0.6385767790262172,0.706298975286317,GPT-4.1-Mini,structured-cot,BioREASONC-YesNo,200,0.5720560287244598
0.66,0.1987951807228915,0.7951807228915662,0.25,0.165,GPT-4.1-Mini,structured-cot,BioREASONC-MCQ,200,0.6251822934152886
0.585,0.5561378646487874,0.5617971068745153,0.593226788432268,0.5736842105263158,GPT-4.1-Mini,structured-cot,PubMedQA,200,
0.85,0.0047948872574857,0.0568035286308213,0.0031589070903928,0.0102734009383625,GPT-4.1-Mini,structured-cot,MedQA,200,
0.77,0.7624561403508772,0.7709744360902256,0.7658689467036472,0.7614885233386133,GPT-4.1-Mini,structured-cot,MedMCQA,200,
0.67,0.3920278392913635,0.6949775387535589,0.3922810191466908,0.4108900944343983,Claude-3-Haiku,zero-shot,BioREASONC-YesNo,200,0.6232849268191875
0.125,0.0555555555555555,0.2222222222222222,0.25,0.03125,Claude-3-Haiku,zero-shot,BioREASONC-MCQ,200,0.1166880456602132
0.57,0.5481294661622531,0.5531000420344683,0.5710579077721429,0.5604010025062657,Claude-3-Haiku,zero-shot,PubMedQA,200,
0.7,0.0040930650936382,0.0449281632784457,0.0027983920841063,0.0100662338514,Claude-3-Haiku,zero-shot,MedQA,200,
0.555,0.5540134856932295,0.5388785690826364,0.5841669416646456,0.5984884484210227,Claude-3-Haiku,zero-shot,MedMCQA,200,
0.495,0.4825687133379441,0.529085786008863,0.5790637471685902,0.6104581072935503,Claude-3-Haiku,few-shot,BioREASONC-YesNo,200,0.4686495492369538
0.295,0.0759330759330759,0.4555984555984556,0.1666666666666666,0.0491666666666666,Claude-3-Haiku,few-shot,BioREASONC-MCQ,200,0.2827076228190531
0.58,0.5779318661441061,0.5794091046126018,0.5783849178344591,0.5779448621553884,Claude-3-Haiku,few-shot,PubMedQA,200,
0.15,0.0037723860979674,0.0434918173987941,0.0027185962134941,0.0063010518892871,Claude-3-Haiku,few-shot,MedQA,200,
0.495,0.3501698995229036,0.5277139559176556,0.3765939238339752,0.3297660073918689,Claude-3-Haiku,few-shot,MedMCQA,200,
0.55,0.0530147207098205,0.6137729380923573,0.0579962243797195,0.0540385774562989,Claude-3-Haiku,cot,BioREASONC-YesNo,200,0.5198784473316815
0.14,0.0614035087719298,0.2456140350877192,0.25,0.035,Claude-3-Haiku,cot,BioREASONC-MCQ,200,0.1337643450251224
0.51,0.0436078533013672,0.5083830104321908,0.0525999881645799,0.0432821183393265,Claude-3-Haiku,cot,PubMedQA,200,
0.78,0.0049812697462327,0.0600889436952301,0.0033329857852848,0.010144743111311,Claude-3-Haiku,cot,MedQA,200,
0.51,0.4871627279384519,0.500686951070987,0.5270614692653673,0.4767465609258386,Claude-3-Haiku,cot,MedMCQA,200,
0.74,0.3298068391236092,0.7581079789775441,0.3270010131712259,0.3390596745027124,Claude-3-Haiku,structured-cot,BioREASONC-YesNo,200,0.7029743238554307
0.44,0.1527777777777778,0.6111111111111112,0.25,0.11,Claude-3-Haiku,structured-cot,BioREASONC-MCQ,200,0.4145746012480745
0.51,0.0594263436368699,0.4568713450292397,0.0762469414643327,0.0656307435254803,Claude-3-Haiku,structured-cot,PubMedQA,200,
0.75,0.0043468035260019,0.0522538157335686,0.0029439863023689,0.0091168422370468,Claude-3-Haiku,structured-cot,MedQA,200,
0.485,0.4625816993464052,0.4753921568627451,0.4978939189465505,0.4541461535168457,Claude-3-Haiku,structured-cot,MedMCQA,200,
0.585,0.5424350175032387,0.6233782629069158,0.5763687318586728,0.6149789029535865,Llama-3.1-8B,zero-shot,BioREASONC-YesNo,200,0.5502363128692981
0.01,0.0049504950495049,0.0198019801980198,0.25,0.0025,Llama-3.1-8B,zero-shot,BioREASONC-MCQ,200,0.0094868329805051
0.62,0.6072757337742869,0.6108102521703184,0.6241840911605265,0.612531328320802,Llama-3.1-8B,zero-shot,PubMedQA,200,
0.55,0.003987832287065,0.0464176470588235,0.0026321260710714,0.0085296204222035,Llama-3.1-8B,zero-shot,MedQA,200,
0.525,0.5155197480991,0.5214421103787626,0.539130486612784,0.5046900195499237,Llama-3.1-8B,zero-shot,MedMCQA,200,
0.345,0.3430126131547932,0.3220547155144311,0.5860851307501431,0.5679626280892104,Llama-3.1-8B,few-shot,BioREASONC-YesNo,200,0.3253983712313262
0.065,0.0244131455399061,0.1220657276995305,0.2,0.013,Llama-3.1-8B,few-shot,BioREASONC-MCQ,200,0.0588183644791318
0.46,0.1820443645083933,0.3517176258992806,0.2327868852459016,0.2403508771929824,Llama-3.1-8B,few-shot,PubMedQA,200,
0.1,0.0021378621378621,0.0273706293706293,0.0045566502463054,0.0017482517482517,Llama-3.1-8B,few-shot,MedQA,200,
0.31,0.2322526620884677,0.3593374545664456,0.3503598740440846,0.1901932279254724,Llama-3.1-8B,few-shot,MedMCQA,200,
0.605,0.5480419920478274,0.6411001458851798,0.5684569219814871,0.601416515973478,Llama-3.1-8B,cot,BioREASONC-YesNo,200,0.5654152456381063
0.18,0.0762711864406779,0.3050847457627119,0.25,0.045,Llama-3.1-8B,cot,BioREASONC-MCQ,200,0.169814310351042
0.595,0.3787919463087248,0.5737785234899329,0.4052788420604512,0.3891395154553049,Llama-3.1-8B,cot,PubMedQA,200,
0.65,0.003809307544741,0.0481935847509735,0.002524956778763,0.0078601043476202,Llama-3.1-8B,cot,MedQA,200,
0.595,0.5733099914684765,0.5857502708039763,0.6225532042085127,0.5593418668036588,Llama-3.1-8B,cot,MedMCQA,200,
0.65,0.2968271721214975,0.6853932187426419,0.3042998317914214,0.3236889692585895,Llama-3.1-8B,structured-cot,BioREASONC-YesNo,200,0.6100033606464803
0.67,0.2005988023952096,0.8023952095808384,0.25,0.1675,Llama-3.1-8B,structured-cot,BioREASONC-MCQ,200,0.6365664929918947
0.52,0.0994250382826269,0.5039958394729999,0.1116792929292929,0.1015538847117794,Llama-3.1-8B,structured-cot,PubMedQA,200,
0.6,0.0042979084904716,0.0543297208305203,0.0028208511518192,0.0093657408235413,Llama-3.1-8B,structured-cot,MedQA,200,
0.545,0.508876765516668,0.5285695147879899,0.5256892230576441,0.5097587296830629,Llama-3.1-8B,structured-cot,MedMCQA,200,
0.585,0.3612463392385616,0.6259248163618032,0.3808673737267667,0.3983323287120755,DeepSeek-V3,zero-shot,BioREASONC-YesNo,200,0.5473902629751465
0.19,0.0798319327731092,0.319327731092437,0.25,0.0475,DeepSeek-V3,zero-shot,BioREASONC-MCQ,200,0.1793011433315471
0.55,0.3604319052594915,0.544649947753396,0.3699287589051368,0.3619047619047619,DeepSeek-V3,zero-shot,PubMedQA,200,
0.75,0.0052633088326432,0.0585168868434291,0.0034753334229232,0.0110633186080756,DeepSeek-V3,zero-shot,MedQA,200,
0.67,0.6710987011619922,0.670654963408128,0.6820454355284077,0.6668294340511152,DeepSeek-V3,zero-shot,MedMCQA,200,
0.505,0.4958111583611316,0.535289144661455,0.6049894899878305,0.6430078360458107,DeepSeek-V3,few-shot,BioREASONC-YesNo,200,0.4771876989194084
0.035,0.0112721417069243,0.0676328502415459,0.1666666666666666,0.0058333333333333,DeepSeek-V3,few-shot,BioREASONC-MCQ,200,0.0313065488356669
0.575,0.5749893747343684,0.5750956273906848,0.5761217948717949,0.5761904761904761,DeepSeek-V3,few-shot,PubMedQA,200,
0.2,0.00472450435137,0.0596048603138155,0.0035635096610706,0.0078583181524358,DeepSeek-V3,few-shot,MedQA,200,
0.57,0.4034380652027711,0.6169749857985152,0.4474380594958679,0.3720305283236059,DeepSeek-V3,few-shot,MedMCQA,200,
0.44,0.4363929146537842,0.4625442834138487,0.5750364254492473,0.593128390596745,DeepSeek-V3,cot,BioREASONC-YesNo,200,0.4174206511422261
0.34,0.126865671641791,0.5074626865671642,0.25,0.085,DeepSeek-V3,cot,BioREASONC-MCQ,200,0.3216036380391242
0.59,0.576271186440678,0.5800847457627119,0.5909945790463547,0.5824561403508772,DeepSeek-V3,cot,PubMedQA,200,
0.82,0.0043880503331967,0.0524753856766587,0.0028982410504149,0.0093359326095899,DeepSeek-V3,cot,MedQA,200,
0.73,0.7204208871488966,0.7306775198397983,0.7195273109243698,0.7218344642322017,DeepSeek-V3,cot,MedMCQA,200,
0.705,0.6471186339304404,0.73001046682018,0.6460247070003168,0.7084086799276672,DeepSeek-V3,structured-cot,BioREASONC-YesNo,200,0.6669243585295113
0.665,0.1996996996996997,0.7987987987987988,0.25,0.16625,DeepSeek-V3,structured-cot,BioREASONC-MCQ,200,0.6308743932035917
0.565,0.5347469183668013,0.5406788951576246,0.5678589548452562,0.5536340852130326,DeepSeek-V3,structured-cot,PubMedQA,200,
0.8,0.0041166610003775,0.0508996071904942,0.0027367991481656,0.0086771710812631,DeepSeek-V3,structured-cot,MedQA,200,
0.71,0.7043026958155876,0.7121910204165007,0.7034184350132626,0.7126124655735833,DeepSeek-V3,structured-cot,MedMCQA,200,
0.465,0.453510048775505,0.499469853673485,0.5536084725406704,0.5739903556359253,Qwen-2.5-7B,zero-shot,BioREASONC-YesNo,200,0.4430351001895899
0.015,0.0073891625615763,0.0295566502463054,0.25,0.00375,Qwen-2.5-7B,zero-shot,BioREASONC-MCQ,200,0.0123328828746566
0.58,0.5798319327731092,0.5802521008403361,0.5802580258025802,0.5804511278195488,Qwen-2.5-7B,zero-shot,PubMedQA,200,
0.5,0.0031358537974795,0.03220301046388,0.0020380786685134,0.0073000315967067,Qwen-2.5-7B,zero-shot,MedQA,200,
0.59,0.5813772415512158,0.5881886496735129,0.5806223098995696,0.5870914315681321,Qwen-2.5-7B,zero-shot,MedMCQA,200,
0.4,0.3978321959052589,0.4187876354877559,0.5423642820903095,0.5503315250150693,Qwen-2.5-7B,few-shot,BioREASONC-YesNo,200,0.3832680524124076
0.08,0.0246913580246913,0.1481481481481481,0.1666666666666666,0.0133333333333333,Qwen-2.5-7B,few-shot,BioREASONC-MCQ,200,0.0787407137381926
0.49,0.4466145833333333,0.4388671875,0.5083612040133779,0.5052631578947369,Qwen-2.5-7B,few-shot,PubMedQA,200,
0.08,0.0049382389639545,0.0605294326241134,0.0033858853064358,0.0105353808273825,Qwen-2.5-7B,few-shot,MedQA,200,
0.455,0.3268088109421146,0.498113680255977,0.3723111658456486,0.2938964757814024,Qwen-2.5-7B,few-shot,MedMCQA,200,
0.56,0.5225694444444444,0.6001041666666667,0.5658263305322129,0.5991561181434599,Qwen-2.5-7B,cot,BioREASONC-YesNo,200,0.5284165970141361
0.265,0.1047430830039525,0.4189723320158102,0.25,0.06625,Qwen-2.5-7B,cot,BioREASONC-MCQ,200,0.243811607598982
0.56,0.548440065681445,0.5520525451559933,0.5574371696688598,0.5533834586466165,Qwen-2.5-7B,cot,PubMedQA,200,
0.6,0.0041158939601509,0.046577232883203,0.0027850306244619,0.0097711325332808,Qwen-2.5-7B,cot,MedQA,200,
0.53,0.418068712698661,0.534120660750609,0.418434282592062,0.4207963383135693,Qwen-2.5-7B,cot,MedMCQA,200,
0.555,0.2183020237039425,0.5963057324840764,0.2524821133736928,0.2663652802893309,Qwen-2.5-7B,structured-cot,BioREASONC-YesNo,200,0.5236731805238836
0.585,0.1845425867507886,0.7381703470031546,0.25,0.14625,Qwen-2.5-7B,structured-cot,BioREASONC-MCQ,200,0.5606718291478536
0.5,0.1401473078892433,0.484699476151089,0.1558273381294964,0.1462226996061582,Qwen-2.5-7B,structured-cot,PubMedQA,200,
0.55,0.0046623874210081,0.0510758322137632,0.003071545635761,0.0103911433834707,Qwen-2.5-7B,structured-cot,MedQA,200,
0.525,0.5165447405803675,0.5257145656657282,0.5191737288135594,0.5249692302752687,Qwen-2.5-7B,structured-cot,MedMCQA,200,
0.905,0.9026035547636936,0.904708639392306,0.9030212842712844,0.9040185039533054,GPT-4o,zero-shot,MMLU-Med,200,
0.905,0.9030753753367018,0.904482061243299,0.9042207792207791,0.9046101199100328,GPT-4o,few-shot,MMLU-Med,200,
0.69,0.6782317955754803,0.6812864055832426,0.7215180413456276,0.6767017151688262,GPT-4o,cot,MMLU-Med,200,
0.725,0.7309163059163061,0.7276919191919192,0.8270592553997727,0.7145772101944227,GPT-4o,structured-cot,MMLU-Med,200,
0.86,0.8597949503121918,0.859783198317681,0.8585205151242886,0.8626002124987926,GPT-4o-Mini,zero-shot,MMLU-Med,200,
0.835,0.8349548472619546,0.8352858319088486,0.8354380966283816,0.8366398283451312,GPT-4o-Mini,few-shot,MMLU-Med,200,
0.795,0.7979071040452207,0.7981685979081528,0.8128745238501337,0.7942642574271087,GPT-4o-Mini,cot,MMLU-Med,200,
0.85,0.8482514040877772,0.8504971339239187,0.8483139233954451,0.850621282995957,GPT-4o-Mini,structured-cot,MMLU-Med,200,
0.93,0.9279222965058744,0.9298784883122232,0.9286485987532672,0.927295055953416,GPT-4.1,zero-shot,MMLU-Med,200,
0.935,0.9339463928914166,0.9349387292760786,0.9347461597288772,0.9332474369057968,GPT-4.1,few-shot,MMLU-Med,200,
0.86,0.8587001084154041,0.8601258165319825,0.8706184833279955,0.8575568158297802,GPT-4.1,cot,MMLU-Med,200,
0.945,0.9430209481401072,0.9448603081944574,0.9432227034312084,0.943568806833078,GPT-4.1,structured-cot,MMLU-Med,200,
0.88,0.8769702111613876,0.8799496606334841,0.8772064147323821,0.8770163237708877,GPT-4.1-Mini,zero-shot,MMLU-Med,200,
0.885,0.8826821941418846,0.8850616132938572,0.8828369301011694,0.8827099805439417,GPT-4.1-Mini,few-shot,MMLU-Med,200,
0.775,0.7729659996303785,0.7783908702800261,0.8000470890410959,0.7675621972927101,GPT-4.1-Mini,cot,MMLU-Med,200,
0.87,0.867044452012866,0.868858727976621,0.8728625541125541,0.8653616619061417,GPT-4.1-Mini,structured-cot,MMLU-Med,200,
0.72,0.7188860483100579,0.7217416876677433,0.7350851872711912,0.7184839453022589,Claude-3-Haiku,zero-shot,MMLU-Med,200,
0.69,0.6879885659165624,0.6900525637606552,0.7144116705581081,0.6890721805963764,Claude-3-Haiku,few-shot,MMLU-Med,200,
0.51,0.4861021280718965,0.4928996887225513,0.5490032955550197,0.4921416842599109,Claude-3-Haiku,cot,MMLU-Med,200,
0.77,0.7679435977305595,0.7716161864501057,0.7688195163499115,0.7698872652509279,Claude-3-Haiku,structured-cot,MMLU-Med,200,
0.5,0.49,0.495,0.49,0.5,Llama-3.1-8B,zero-shot,MMLU-Med,200,
0.52,0.5096,0.5148,0.5096,0.52,Llama-3.1-8B,few-shot,MMLU-Med,200,
0.48,0.4704,0.47519999999999996,0.4704,0.48,Llama-3.1-8B,cot,MMLU-Med,200,
0.51,0.4998,0.5049,0.4998,0.51,Llama-3.1-8B,structured-cot,MMLU-Med,200,
0.905,0.9058538479494362,0.9051841602025426,0.9096607813348736,0.9033095997019498,DeepSeek-V3,zero-shot,MMLU-Med,200,
0.91,0.9113127501664756,0.910333810896974,0.9139565908330544,0.9092619806543308,DeepSeek-V3,few-shot,MMLU-Med,200,
0.735,0.7414743009909747,0.740671886872098,0.7968776434293676,0.7341212347007768,DeepSeek-V3,cot,MMLU-Med,200,
0.48,0.4569730220685027,0.4606392536196108,0.7405481423338567,0.4542385919885195,DeepSeek-V3,structured-cot,MMLU-Med,200,
0.75,0.747942553928709,0.7502762086801116,0.7491107887384483,0.7500120737950352,Qwen-2.5-7B,zero-shot,MMLU-Med,200,
0.73,0.7289505185413601,0.7298008064533397,0.729628465506125,0.7331708545487161,Qwen-2.5-7B,few-shot,MMLU-Med,200,
0.72,0.7191240788674909,0.7200723980821069,0.7181792117995681,0.7215248168232811,Qwen-2.5-7B,cot,MMLU-Med,200,
0.705,0.7037140724150802,0.7061310190369542,0.7065058479532164,0.70274316623201,Qwen-2.5-7B,structured-cot,MMLU-Med,200,
