protein1,protein2,string_id1,string_id2,score
APPL1,ADIPOR1,9606.ENSP00000288266,9606.ENSP00000341785,0.999
APPL1,ADIPOR2,9606.ENSP00000288266,9606.ENSP00000349616,0.999
APPL1,RAB5A,9606.ENSP00000288266,9606.ENSP00000273047,0.999
APPL1,AKT1,9606.ENSP00000288266,9606.ENSP00000451828,0.993
APPL1,APPL2,9606.ENSP00000288266,9606.ENSP00000446917,0.989
APPL1,IGF1R,9606.ENSP00000288266,9606.ENSP00000497069,0.982
APPL1,GIPC1,9606.ENSP00000288266,9606.ENSP00000376753,0.977
APPL1,SRC,9606.ENSP00000288266,9606.ENSP00000362680,0.974
APPL1,OCRL,9606.ENSP00000288266,9606.ENSP00000360154,0.973
APPL1,AKT2,9606.ENSP00000288266,9606.ENSP00000375892,0.949
APPL1,DCC,9606.ENSP00000288266,9606.ENSP00000389140,0.938
APPL1,CASP3,9606.ENSP00000288266,9606.ENSP00000311032,0.923
APPL1,NTRK1,9606.ENSP00000288266,9606.ENSP00000431418,0.908
APPL1,ADIPOQ,9606.ENSP00000288266,9606.ENSP00000389814,0.893
APPL1,EEA1,9606.ENSP00000288266,9606.ENSP00000317955,0.829
APPL1,CASP9,9606.ENSP00000288266,9606.ENSP00000330237,0.825
APPL1,APP,9606.ENSP00000288266,9606.ENSP00000284981,0.807
APPL1,FSHR,9606.ENSP00000288266,9606.ENSP00000384708,0.799
APPL1,EGF,9606.ENSP00000288266,9606.ENSP00000265171,0.766
APPL1,PIK3CA,9606.ENSP00000288266,9606.ENSP00000263967,0.735
APPL1,HDAC1,9606.ENSP00000288266,9606.ENSP00000362649,0.721
APPL1,HDAC3,9606.ENSP00000288266,9606.ENSP00000302967,0.715
APPL1,CCZ1,9606.ENSP00000288266,9606.ENSP00000325681,0.71
APPL1,RBSN,9606.ENSP00000288266,9606.ENSP00000253699,0.707
NEUROG3,PAX4,9606.ENSP00000242462,9606.ENSP00000368014,0.98
NEUROG3,HES1,9606.ENSP00000242462,9606.ENSP00000232424,0.971
NEUROG3,ONECUT1,9606.ENSP00000242462,9606.ENSP00000302630,0.967
NEUROG3,INSM1,9606.ENSP00000242462,9606.ENSP00000312631,0.955
NEUROG3,NKX2-2,9606.ENSP00000242462,9606.ENSP00000366347,0.953
NEUROG3,RFX6,9606.ENSP00000242462,9606.ENSP00000332208,0.899
NEUROG3,ISL1,9606.ENSP00000242462,9606.ENSP00000230658,0.896
NEUROG3,GCG,9606.ENSP00000242462,9606.ENSP00000387662,0.885
NEUROG3,NKX6-1,9606.ENSP00000242462,9606.ENSP00000295886,0.885
NEUROG3,NEUROD1,9606.ENSP00000242462,9606.ENSP00000295108,0.882
NEUROG3,NKX6-2,9606.ENSP00000242462,9606.ENSP00000357581,0.876
NEUROG3,PDX1,9606.ENSP00000242462,9606.ENSP00000370421,0.876
NEUROG3,INS,9606.ENSP00000242462,9606.ENSP00000380432,0.86
NEUROG3,SLC2A2,9606.ENSP00000242462,9606.ENSP00000323568,0.854
NEUROG3,SST,9606.ENSP00000242462,9606.ENSP00000287641,0.841
NEUROG3,PPY,9606.ENSP00000242462,9606.ENSP00000466009,0.834
NEUROG3,FOXA2,9606.ENSP00000242462,9606.ENSP00000400341,0.795
NEUROG3,MAFA,9606.ENSP00000242462,9606.ENSP00000328364,0.785
NEUROG3,PAX6,9606.ENSP00000242462,9606.ENSP00000492024,0.754
NEUROG3,GLIS3,9606.ENSP00000242462,9606.ENSP00000371398,0.751
NEUROG3,TCF4,9606.ENSP00000242462,9606.ENSP00000381382,0.744
NEUROG3,GAST,9606.ENSP00000242462,9606.ENSP00000331358,0.734
NEUROG3,HNF1A,9606.ENSP00000242462,9606.ENSP00000438804,0.732
NEUROG3,POU5F1,9606.ENSP00000242462,9606.ENSP00000259915,0.728
NEUROG3,HNF1B,9606.ENSP00000242462,9606.ENSP00000480291,0.714
NEUROG3,ASCL1,9606.ENSP00000242462,9606.ENSP00000266744,0.705
MTNR1B,GNB1,9606.ENSP00000257068,9606.ENSP00000367872,0.984
MTNR1B,GNAI1,9606.ENSP00000257068,9606.ENSP00000497260,0.975
MTNR1B,MTNR1A,9606.ENSP00000257068,9606.ENSP00000302811,0.945
MTNR1B,GPR50,9606.ENSP00000257068,9606.ENSP00000218316,0.938
MTNR1B,GNB2,9606.ENSP00000257068,9606.ENSP00000305260,0.938
MTNR1B,GNB4,9606.ENSP00000257068,9606.ENSP00000232564,0.938
MTNR1B,GNB3,9606.ENSP00000257068,9606.ENSP00000229264,0.924
MTNR1B,GNB5,9606.ENSP00000257068,9606.ENSP00000261837,0.921
MTNR1B,GNAQ,9606.ENSP00000257068,9606.ENSP00000286548,0.917
MTNR1B,GNG4,9606.ENSP00000257068,9606.ENSP00000398629,0.913
MTNR1B,GNG2,9606.ENSP00000257068,9606.ENSP00000334448,0.913
MTNR1B,ADCY5,9606.ENSP00000257068,9606.ENSP00000419361,0.911
MTNR1B,GNGT2,9606.ENSP00000257068,9606.ENSP00000421710,0.91
MTNR1B,GNG3,9606.ENSP00000257068,9606.ENSP00000294117,0.909
MTNR1B,GNG12,9606.ENSP00000257068,9606.ENSP00000360021,0.909
MTNR1B,GNG7,9606.ENSP00000257068,9606.ENSP00000371594,0.909
MTNR1B,GNGT1,9606.ENSP00000257068,9606.ENSP00000248572,0.908
MTNR1B,GNG13,9606.ENSP00000257068,9606.ENSP00000248150,0.908
MTNR1B,GNG5,9606.ENSP00000257068,9606.ENSP00000359675,0.908
MTNR1B,GNG11,9606.ENSP00000257068,9606.ENSP00000248564,0.908
MTNR1B,GNG8,9606.ENSP00000257068,9606.ENSP00000300873,0.908
MTNR1B,GNG10,9606.ENSP00000257068,9606.ENSP00000363411,0.908
MTNR1B,DGKB,9606.ENSP00000257068,9606.ENSP00000385780,0.884
MTNR1B,GCK,9606.ENSP00000257068,9606.ENSP00000223366,0.869
MTNR1B,FAT3,9606.ENSP00000257068,9606.ENSP00000432586,0.831
MTNR1B,G6PC2,9606.ENSP00000257068,9606.ENSP00000364512,0.804
MTNR1B,CDKAL1,9606.ENSP00000257068,9606.ENSP00000274695,0.8
MTNR1B,GNAI2,9606.ENSP00000257068,9606.ENSP00000312999,0.793
MTNR1B,SLC30A8,9606.ENSP00000257068,9606.ENSP00000415011,0.763
MTNR1B,GNAI3,9606.ENSP00000257068,9606.ENSP00000358867,0.753
MTNR1B,GCKR,9606.ENSP00000257068,9606.ENSP00000264717,0.749
MTNR1B,KCNJ11,9606.ENSP00000257068,9606.ENSP00000345708,0.745
MTNR1B,INS,9606.ENSP00000257068,9606.ENSP00000380432,0.73
MTNR1B,TCF7L2,9606.ENSP00000257068,9606.ENSP00000486891,0.724
MTNR1B,FAT1,9606.ENSP00000257068,9606.ENSP00000406229,0.72
MTNR1B,HHEX,9606.ENSP00000257068,9606.ENSP00000282728,0.709
JAZF1,NR2C2,9606.ENSP00000283928,9606.ENSP00000483059,0.988
JAZF1,SUZ12,9606.ENSP00000283928,9606.ENSP00000316578,0.935
JAZF1,MEAF6,9606.ENSP00000283928,9606.ENSP00000362166,0.931
JAZF1,MBTD1,9606.ENSP00000283928,9606.ENSP00000468304,0.917
JAZF1,WDR82,9606.ENSP00000283928,9606.ENSP00000296490,0.89
JAZF1,SYMPK,9606.ENSP00000283928,9606.ENSP00000245934,0.863
JAZF1,BRD8,9606.ENSP00000283928,9606.ENSP00000254900,0.845
JAZF1,TRRAP,9606.ENSP00000283928,9606.ENSP00000352925,0.841
JAZF1,EPC2,9606.ENSP00000283928,9606.ENSP00000258484,0.833
JAZF1,YEATS4,9606.ENSP00000283928,9606.ENSP00000247843,0.827
JAZF1,CDC123,9606.ENSP00000283928,9606.ENSP00000281141,0.82
JAZF1,EP400,9606.ENSP00000283928,9606.ENSP00000374212,0.784
JAZF1,CDKAL1,9606.ENSP00000283928,9606.ENSP00000274695,0.762
JAZF1,EPC1,9606.ENSP00000283928,9606.ENSP00000263062,0.761
JAZF1,MYCL,9606.ENSP00000283928,9606.ENSP00000380494,0.725
JAZF1,PHF1,9606.ENSP00000283928,9606.ENSP00000363640,0.714
JAZF1,NUTM2A,9606.ENSP00000283928,9606.ENSP00000371126,0.704
JAZF1,KAT5,9606.ENSP00000283928,9606.ENSP00000340330,0.701
IDUA,IDS,9606.ENSP00000247933,9606.ENSP00000339801,0.981
IDUA,SGSH,9606.ENSP00000247933,9606.ENSP00000314606,0.974
IDUA,ARSB,9606.ENSP00000247933,9606.ENSP00000264914,0.973
IDUA,HYAL1,9606.ENSP00000247933,9606.ENSP00000266031,0.946
IDUA,SPAM1,9606.ENSP00000247933,9606.ENSP00000345849,0.941
IDUA,HYAL3,9606.ENSP00000247933,9606.ENSP00000337425,0.923
IDUA,HYAL2,9606.ENSP00000247933,9606.ENSP00000401853,0.918
IDUA,HYAL4,9606.ENSP00000247933,9606.ENSP00000223026,0.916
IDUA,SI,9606.ENSP00000247933,9606.ENSP00000264382,0.836
IDUA,MGAM,9606.ENSP00000247933,9606.ENSP00000447378,0.836
IDUA,NAGLU,9606.ENSP00000247933,9606.ENSP00000225927,0.81
IDUA,GALNS,9606.ENSP00000247933,9606.ENSP00000268695,0.783
IDUA,ARSA,9606.ENSP00000247933,9606.ENSP00000216124,0.734
IDUA,GUSB,9606.ENSP00000247933,9606.ENSP00000302728,0.726
APOE,APOC2,9606.ENSP00000252486,9606.ENSP00000466775,0.999
APOE,APOB,9606.ENSP00000252486,9606.ENSP00000233242,0.999
APOE,APOC3,9606.ENSP00000252486,9606.ENSP00000227667,0.999
APOE,LRP2,9606.ENSP00000252486,9606.ENSP00000496870,0.999
APOE,APOA2,9606.ENSP00000252486,9606.ENSP00000356969,0.999
APOE,CLU,9606.ENSP00000252486,9606.ENSP00000315130,0.999
APOE,LRP1,9606.ENSP00000252486,9606.ENSP00000243077,0.999
APOE,APOC1,9606.ENSP00000252486,9606.ENSP00000465356,0.999
APOE,LRP8,9606.ENSP00000252486,9606.ENSP00000303634,0.999
APOE,APP,9606.ENSP00000252486,9606.ENSP00000284981,0.999
APOE,APOA1,9606.ENSP00000252486,9606.ENSP00000236850,0.999
APOE,VLDLR,9606.ENSP00000252486,9606.ENSP00000371532,0.998
APOE,TREM2,9606.ENSP00000252486,9606.ENSP00000362205,0.997
APOE,SORL1,9606.ENSP00000252486,9606.ENSP00000260197,0.997
APOE,SNCA,9606.ENSP00000252486,9606.ENSP00000500990,0.996
APOE,APOA4,9606.ENSP00000252486,9606.ENSP00000350425,0.995
APOE,APOA5,9606.ENSP00000252486,9606.ENSP00000445002,0.992
APOE,MAPT,9606.ENSP00000252486,9606.ENSP00000340820,0.991
APOE,VTN,9606.ENSP00000252486,9606.ENSP00000226218,0.989
APOE,LPL,9606.ENSP00000252486,9606.ENSP00000497642,0.982
APOE,ABCA1,9606.ENSP00000252486,9606.ENSP00000363868,0.98
APOE,PON1,9606.ENSP00000252486,9606.ENSP00000222381,0.977
APOE,A2M,9606.ENSP00000252486,9606.ENSP00000323929,0.975
APOE,CETP,9606.ENSP00000252486,9606.ENSP00000200676,0.974
APOE,LPA,9606.ENSP00000252486,9606.ENSP00000321334,0.971
APOE,PLA2G7,9606.ENSP00000252486,9606.ENSP00000274793,0.97
APOE,PLTP,9606.ENSP00000252486,9606.ENSP00000417138,0.968
APOE,SCARB1,9606.ENSP00000252486,9606.ENSP00000261693,0.968
APOE,APOL1,9606.ENSP00000252486,9606.ENSP00000317674,0.965
APOE,PSEN2,9606.ENSP00000252486,9606.ENSP00000355747,0.961
APOE,CFH,9606.ENSP00000252486,9606.ENSP00000356399,0.958
APOE,APOC4,9606.ENSP00000252486,9606.ENSP00000468236,0.957
APOE,PSEN1,9606.ENSP00000252486,9606.ENSP00000326366,0.956
APOE,LCAT,9606.ENSP00000252486,9606.ENSP00000264005,0.956
APOE,HSPG2,9606.ENSP00000252486,9606.ENSP00000363827,0.954
APOE,ALB,9606.ENSP00000252486,9606.ENSP00000295897,0.953
APOE,TTR,9606.ENSP00000252486,9606.ENSP00000237014,0.952
APOE,CARM1,9606.ENSP00000252486,9606.ENSP00000325690,0.948
APOE,LIPC,9606.ENSP00000252486,9606.ENSP00000299022,0.943
APOE,APOM,9606.ENSP00000252486,9606.ENSP00000365081,0.941
APOE,CD44,9606.ENSP00000252486,9606.ENSP00000398632,0.937
APOE,APOD,9606.ENSP00000252486,9606.ENSP00000345179,0.936
APOE,APCS,9606.ENSP00000252486,9606.ENSP00000255040,0.933
APOE,SDC1,9606.ENSP00000252486,9606.ENSP00000370542,0.932
APOE,ABCG1,9606.ENSP00000252486,9606.ENSP00000354995,0.928
APOE,APOH,9606.ENSP00000252486,9606.ENSP00000205948,0.921
APOE,INS,9606.ENSP00000252486,9606.ENSP00000380432,0.92
APOE,SERPINA3,9606.ENSP00000252486,9606.ENSP00000450540,0.916
APOE,DBI,9606.ENSP00000252486,9606.ENSP00000486361,0.913
APOE,BIN1,9606.ENSP00000252486,9606.ENSP00000316779,0.908
HLA-DQA1,HLA-DQB1,9606.ENSP00000339398,9606.ENSP00000364080,0.999
HLA-DQA1,CD74,9606.ENSP00000339398,9606.ENSP00000009530,0.994
HLA-DQA1,HLA-DRB1,9606.ENSP00000339398,9606.ENSP00000353099,0.991
HLA-DQA1,CD4,9606.ENSP00000339398,9606.ENSP00000011653,0.982
HLA-DQA1,HLA-A,9606.ENSP00000339398,9606.ENSP00000379873,0.973
HLA-DQA1,HCRT,9606.ENSP00000339398,9606.ENSP00000293330,0.972
HLA-DQA1,HLA-DPB1,9606.ENSP00000339398,9606.ENSP00000408146,0.967
HLA-DQA1,TNFRSF25,9606.ENSP00000339398,9606.ENSP00000367013,0.956
HLA-DQA1,TNFRSF10A,9606.ENSP00000339398,9606.ENSP00000221132,0.954
HLA-DQA1,HLA-C,9606.ENSP00000339398,9606.ENSP00000365402,0.945
HLA-DQA1,CD247,9606.ENSP00000339398,9606.ENSP00000354782,0.938
HLA-DQA1,TOR1A,9606.ENSP00000339398,9606.ENSP00000345719,0.935
HLA-DQA1,LOC102723407,9606.ENSP00000339398,9606.ENSP00000478289,0.934
HLA-DQA1,HLA-DRB5,9606.ENSP00000339398,9606.ENSP00000364114,0.904
HLA-DQA1,HLA-DMA,9606.ENSP00000339398,9606.ENSP00000363976,0.904
HLA-DQA1,HLA-DMB,9606.ENSP00000339398,9606.ENSP00000398890,0.902
HLA-DQA1,PTPN22,9606.ENSP00000339398,9606.ENSP00000352833,0.879
HLA-DQA1,HLA-DPA1,9606.ENSP00000339398,9606.ENSP00000393566,0.872
HLA-DQA1,HLA-DOB,9606.ENSP00000339398,9606.ENSP00000496848,0.872
HLA-DQA1,HLA-DQB2,9606.ENSP00000339398,9606.ENSP00000396330,0.869
HLA-DQA1,HLA-E,9606.ENSP00000339398,9606.ENSP00000365817,0.842
HLA-DQA1,HLA-DRA,9606.ENSP00000339398,9606.ENSP00000378786,0.838
HLA-DQA1,INS,9606.ENSP00000339398,9606.ENSP00000380432,0.835
HLA-DQA1,SLC26A3,9606.ENSP00000339398,9606.ENSP00000345873,0.784
HLA-DQA1,TOR1B,9606.ENSP00000339398,9606.ENSP00000259339,0.778
HLA-DQA1,PLA2R1,9606.ENSP00000339398,9606.ENSP00000283243,0.776
HLA-DQA1,GAD2,9606.ENSP00000339398,9606.ENSP00000365437,0.769
HLA-DQA1,CTSH,9606.ENSP00000339398,9606.ENSP00000220166,0.768
HLA-DQA1,CD3D,9606.ENSP00000339398,9606.ENSP00000300692,0.767
HLA-DQA1,HLA-G,9606.ENSP00000339398,9606.ENSP00000366024,0.759
HLA-DQA1,HLA-DQA2,9606.ENSP00000339398,9606.ENSP00000364076,0.753
HLA-DQA1,HLA-B,9606.ENSP00000339398,9606.ENSP00000399168,0.746
HLA-DQA1,CD3G,9606.ENSP00000339398,9606.ENSP00000431445,0.745
HLA-DQA1,HLA-DOA,9606.ENSP00000339398,9606.ENSP00000229829,0.739
HLA-DQA1,CTLA4,9606.ENSP00000339398,9606.ENSP00000497102,0.715
HLA-DQA1,PSMB9,9606.ENSP00000339398,9606.ENSP00000363993,0.707
HLA-DQB2,CD74,9606.ENSP00000396330,9606.ENSP00000009530,0.966
HLA-DQB2,HLA-DRA,9606.ENSP00000396330,9606.ENSP00000378786,0.962
HLA-DQB2,HLA-DQA2,9606.ENSP00000396330,9606.ENSP00000364076,0.942
HLA-DQB2,HLA-DMA,9606.ENSP00000396330,9606.ENSP00000363976,0.927
HLA-DQB2,HLA-DQA1,9606.ENSP00000396330,9606.ENSP00000339398,0.869
HLA-DQB2,HLA-DPA1,9606.ENSP00000396330,9606.ENSP00000393566,0.858
HLA-DQB2,HLA-DMB,9606.ENSP00000396330,9606.ENSP00000398890,0.843
HLA-DQB2,HLA-DOA,9606.ENSP00000396330,9606.ENSP00000229829,0.781
HLA-DQB2,HLA-DRB1,9606.ENSP00000396330,9606.ENSP00000353099,0.765
HLA-DQB2,HLA-DOB,9606.ENSP00000396330,9606.ENSP00000496848,0.75
HLA-DQB2,F6UB75_HUMAN,9606.ENSP00000396330,9606.ENSP00000412457,0.731
HLA-DQB2,HLA-DRB5,9606.ENSP00000396330,9606.ENSP00000364114,0.704
ATP8B4,TMEM30B,9606.ENSP00000284509,9606.ENSP00000450842,0.955
ATP8B4,TMEM30A,9606.ENSP00000284509,9606.ENSP00000230461,0.94
CCND2,CDK4,9606.ENSP00000261254,9606.ENSP00000257904,0.999
CCND2,CDK6,9606.ENSP00000261254,9606.ENSP00000265734,0.999
CCND2,CDKN1A,9606.ENSP00000261254,9606.ENSP00000384849,0.999
CCND2,CDKN1B,9606.ENSP00000261254,9606.ENSP00000228872,0.999
CCND2,CDK2,9606.ENSP00000261254,9606.ENSP00000266970,0.995
CCND2,CDKN1C,9606.ENSP00000261254,9606.ENSP00000413720,0.994
CCND2,RBL2,9606.ENSP00000261254,9606.ENSP00000262133,0.99
CCND2,CDKN2A,9606.ENSP00000261254,9606.ENSP00000418915,0.99
CCND2,RB1,9606.ENSP00000261254,9606.ENSP00000267163,0.988
CCND2,PCNA,9606.ENSP00000261254,9606.ENSP00000368458,0.971
CCND2,CDKN2C,9606.ENSP00000261254,9606.ENSP00000262662,0.963
CCND2,CDKN2D,9606.ENSP00000261254,9606.ENSP00000377224,0.963
CCND2,CDKN2B,9606.ENSP00000261254,9606.ENSP00000276925,0.962
CCND2,CDC25A,9606.ENSP00000261254,9606.ENSP00000303706,0.955
CCND2,CDK5,9606.ENSP00000261254,9606.ENSP00000419782,0.951
CCND2,CCND1,9606.ENSP00000261254,9606.ENSP00000227507,0.942
CCND2,GSK3B,9606.ENSP00000261254,9606.ENSP00000324806,0.938
CCND2,CCND3,9606.ENSP00000261254,9606.ENSP00000362082,0.937
CCND2,RBL1,9606.ENSP00000261254,9606.ENSP00000362768,0.924
CCND2,CDK1,9606.ENSP00000261254,9606.ENSP00000378699,0.888
CCND2,BCL2,9606.ENSP00000261254,9606.ENSP00000381185,0.885
CCND2,SKP2,9606.ENSP00000261254,9606.ENSP00000274255,0.868
CCND2,CCNL2,9606.ENSP00000261254,9606.ENSP00000383611,0.865
CCND2,BCL6,9606.ENSP00000261254,9606.ENSP00000384371,0.851
CCND2,LMO2,9606.ENSP00000261254,9606.ENSP00000257818,0.847
CCND2,DMTF1,9606.ENSP00000261254,9606.ENSP00000378193,0.844
CCND2,E2F2,9606.ENSP00000261254,9606.ENSP00000355249,0.838
CCND2,E2F1,9606.ENSP00000261254,9606.ENSP00000345571,0.791
CCND2,AGO2,9606.ENSP00000261254,9606.ENSP00000220592,0.765
CCND2,E2F3,9606.ENSP00000261254,9606.ENSP00000262904,0.747
CCND2,CDK7,9606.ENSP00000261254,9606.ENSP00000256443,0.731
CCND2,CCL3,9606.ENSP00000261254,9606.ENSP00000477908,0.717
CCND2,JAK2,9606.ENSP00000261254,9606.ENSP00000371067,0.711
CCND2,ABL1,9606.ENSP00000261254,9606.ENSP00000361423,0.71
CCND2,PTEN,9606.ENSP00000261254,9606.ENSP00000361021,0.706
CCND2,MYC,9606.ENSP00000261254,9606.ENSP00000478887,0.701
CCND2,E2F4,9606.ENSP00000261254,9606.ENSP00000368686,0.7
SHARPIN,RBCK1,9606.ENSP00000381698,9606.ENSP00000348632,0.999
SHARPIN,RNF31,9606.ENSP00000381698,9606.ENSP00000315112,0.999
SHARPIN,TNF,9606.ENSP00000381698,9606.ENSP00000398698,0.998
SHARPIN,IKBKG,9606.ENSP00000381698,9606.ENSP00000483825,0.998
SHARPIN,TNFRSF1A,9606.ENSP00000381698,9606.ENSP00000162749,0.998
SHARPIN,BIRC2,9606.ENSP00000381698,9606.ENSP00000477613,0.984
SHARPIN,SPATA2,9606.ENSP00000381698,9606.ENSP00000416799,0.982
SHARPIN,RIPK1,9606.ENSP00000381698,9606.ENSP00000259808,0.981
SHARPIN,OTULIN,9606.ENSP00000381698,9606.ENSP00000284274,0.977
SHARPIN,BIRC3,9606.ENSP00000381698,9606.ENSP00000263464,0.947
SHARPIN,TRAF2,9606.ENSP00000381698,9606.ENSP00000247668,0.937
SHARPIN,CYLD,9606.ENSP00000381698,9606.ENSP00000392025,0.936
SHARPIN,RIPK2,9606.ENSP00000381698,9606.ENSP00000220751,0.935
SHARPIN,TRAF5,9606.ENSP00000381698,9606.ENSP00000261464,0.931
SHARPIN,XIAP,9606.ENSP00000381698,9606.ENSP00000360242,0.929
SHARPIN,SPATA2L,9606.ENSP00000381698,9606.ENSP00000289805,0.925
SHARPIN,SHANK2,9606.ENSP00000381698,9606.ENSP00000345193,0.898
SHARPIN,CHUK,9606.ENSP00000381698,9606.ENSP00000359424,0.877
SHARPIN,TRADD,9606.ENSP00000381698,9606.ENSP00000341268,0.871
SHARPIN,TAB1,9606.ENSP00000381698,9606.ENSP00000216160,0.846
SHARPIN,PTEN,9606.ENSP00000381698,9606.ENSP00000361021,0.834
SHARPIN,NOD2,9606.ENSP00000381698,9606.ENSP00000300589,0.831
SHARPIN,UBC,9606.ENSP00000381698,9606.ENSP00000441543,0.826
SHARPIN,IKBKB,9606.ENSP00000381698,9606.ENSP00000430684,0.807
SHARPIN,MAF1,9606.ENSP00000381698,9606.ENSP00000318604,0.788
SHARPIN,TNFAIP3,9606.ENSP00000381698,9606.ENSP00000481570,0.778
SHARPIN,TAB2,9606.ENSP00000381698,9606.ENSP00000356426,0.776
SHARPIN,IREB2,9606.ENSP00000381698,9606.ENSP00000258886,0.769
SHARPIN,SHANK1,9606.ENSP00000381698,9606.ENSP00000293441,0.764
SHARPIN,MALT1,9606.ENSP00000381698,9606.ENSP00000497997,0.753
SHARPIN,UBE2L3,9606.ENSP00000381698,9606.ENSP00000400906,0.739
SHARPIN,RPS27A,9606.ENSP00000381698,9606.ENSP00000272317,0.739
SHARPIN,ITGAL,9606.ENSP00000381698,9606.ENSP00000349252,0.725
SHARPIN,BCL10,9606.ENSP00000381698,9606.ENSP00000498104,0.719
SHARPIN,TAB3,9606.ENSP00000381698,9606.ENSP00000368215,0.707
SHARPIN,TRIP6,9606.ENSP00000381698,9606.ENSP00000200457,0.702
PICALM,CLINT1,9606.ENSP00000377015,9606.ENSP00000429824,0.982
PICALM,CLTC,9606.ENSP00000377015,9606.ENSP00000479606,0.971
PICALM,UBB,9606.ENSP00000377015,9606.ENSP00000478771,0.95
PICALM,UBC,9606.ENSP00000377015,9606.ENSP00000441543,0.949
PICALM,RPS27A,9606.ENSP00000377015,9606.ENSP00000272317,0.949
PICALM,EPN2,9606.ENSP00000377015,9606.ENSP00000320543,0.947
PICALM,AP2A1,9606.ENSP00000377015,9606.ENSP00000351926,0.947
PICALM,UBA52,9606.ENSP00000377015,9606.ENSP00000388107,0.947
PICALM,EPS15,9606.ENSP00000377015,9606.ENSP00000360798,0.946
PICALM,EPN3,9606.ENSP00000377015,9606.ENSP00000268933,0.944
PICALM,AP2M1,9606.ENSP00000377015,9606.ENSP00000403362,0.935
PICALM,HIP1R,9606.ENSP00000377015,9606.ENSP00000253083,0.927
PICALM,CLU,9606.ENSP00000377015,9606.ENSP00000315130,0.923
PICALM,CLTA,9606.ENSP00000377015,9606.ENSP00000242285,0.922
PICALM,MLLT10,9606.ENSP00000377015,9606.ENSP00000307411,0.922
PICALM,CLTB,9606.ENSP00000377015,9606.ENSP00000309415,0.919
PICALM,CLTCL1,9606.ENSP00000377015,9606.ENSP00000441158,0.915
PICALM,AP2B1,9606.ENSP00000377015,9606.ENSP00000483185,0.908
PICALM,PIK3C2A,9606.ENSP00000377015,9606.ENSP00000265970,0.9
PICALM,BIN1,9606.ENSP00000377015,9606.ENSP00000316779,0.892
PICALM,AP2A2,9606.ENSP00000377015,9606.ENSP00000327694,0.876
PICALM,ABCA7,9606.ENSP00000377015,9606.ENSP00000263094,0.872
PICALM,DAB2,9606.ENSP00000377015,9606.ENSP00000313391,0.868
PICALM,CD2AP,9606.ENSP00000377015,9606.ENSP00000352264,0.865
PICALM,FCHO2,9606.ENSP00000377015,9606.ENSP00000393776,0.852
PICALM,BMP2K,9606.ENSP00000377015,9606.ENSP00000334836,0.85
PICALM,EPHA1,9606.ENSP00000377015,9606.ENSP00000275815,0.846
PICALM,GAK,9606.ENSP00000377015,9606.ENSP00000314499,0.842
PICALM,FCHO1,9606.ENSP00000377015,9606.ENSP00000473001,0.84
PICALM,SORL1,9606.ENSP00000377015,9606.ENSP00000260197,0.838
PICALM,EPS15L1,9606.ENSP00000377015,9606.ENSP00000393313,0.836
PICALM,APP,9606.ENSP00000377015,9606.ENSP00000284981,0.82
PICALM,FERMT2,9606.ENSP00000377015,9606.ENSP00000342858,0.802
PICALM,STON2,9606.ENSP00000377015,9606.ENSP00000450857,0.802
PICALM,SYNRG,9606.ENSP00000377015,9606.ENSP00000483453,0.795
PICALM,MS4A6A,9606.ENSP00000377015,9606.ENSP00000435844,0.79
