category,term,description,p_value,fdr,genes,gene_count
PMID,PMID:34935119,(2022) Genomics and Functional Genomics of Alzheimers Disease.,3.15e-17,1.62e-10,"IDUA,NECTIN2,APOE,APH1B,JAZF1,HLA-DRB1,ALPK2,TREM2,PICALM,HLA-DRA,SHARPIN,PLCG2,HESX1",13
Function,GO:0032395,MHC class II receptor activity,3.15e-13,1.55e-09,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",6
NetworkNeighborAL,CL:16357,MHC II,1.16e-12,5.32e-09,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",6
PMID,PMID:30617256,(2019) Genome-wide meta-analysis identifies new loci and functional pathways influencing Alzheimers disease risk.,2.51e-15,6.46e-09,"APOE,APH1B,HLA-DQA1,HLA-DRB1,ALPK2,TREM2,HLA-DQB1,HLA-DRA,HESX1",9
COMPARTMENTS,GOCC:0042613,MHC class II protein complex,3.39e-12,7.79e-09,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",6
Component,GO:0042613,MHC class II protein complex,6.28e-12,1.29e-08,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",6
Component,GO:0045334,Clathrin-coated endocytic vesicle,2.02e-11,2.06e-08,"APOE,HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,PICALM,HLA-DRA,HLA-DQB2",8
InterPro,IPR014745,"MHC class II, alpha/beta chain, N-terminal",3.39e-12,2.43e-08,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",6
COMPARTMENTS,GOCC:0045334,Clathrin-coated endocytic vesicle,2.39e-11,2.67e-08,"APOE,HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,PICALM,HLA-DRA,HLA-DQB2",8
Component,GO:0071556,Integral component of lumenal side of endoplasmic reticulum membrane,5.56e-11,2.84e-08,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",6
COMPARTMENTS,GOCC:0071556,Integral component of lumenal side of endoplasmic reticulum membrane,5.56e-11,3.2e-08,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",6
PMID,PMID:25670335,(2015) Association of Alzheimers disease GWAS loci with MRI markers of brain aging.,2.31e-14,3.97e-08,"NECTIN2,APOE,HLA-DQA1,HLA-DRB1,TREM2,HLA-DQA2,HLA-DQB1,PICALM",8
InterPro,IPR003597,Immunoglobulin C1-set,1.26e-11,4.52e-08,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,BTNL2,HLA-DQB2",7
PMID,PMID:22558147,(2012) Lack of association of type 2 diabetes susceptibility genotypes and body weight on the development of islet autoimmunity and type 1 diabetes.,3.93e-14,5.05e-08,"KCNQ1,MTNR1B,HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,IGF2BP2",7
Process,GO:0002503,Peptide antigen assembly with MHC class II protein complex,3.39e-12,5.31e-08,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",6
Component,GO:0030669,Clathrin-coated endocytic vesicle membrane,2.51e-10,7.35e-08,"APOE,HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",7
COMPARTMENTS,GOCC:0030669,Clathrin-coated endocytic vesicle membrane,2.51e-10,8.26e-08,"APOE,HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",7
DISEASES,DOID:986,Alopecia areata,1.92e-11,8.81e-08,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,BTNL2,HLA-DQB2",7
Function,GO:0023026,MHC class II protein complex binding,5.56e-11,1.37e-07,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",6
Keyword,KW-0491,MHC II,2.07e-10,1.39e-07,"HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",5
Process,GO:0019886,Antigen processing and presentation of exogenous peptide antigen via MHC class II,9.91e-11,3.11e-07,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",6
RCTM,HSA-202433,Generation of second messenger molecules,1.41e-10,3.23e-07,"HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2,PLCG2",6
PMID,PMID:31593075,(2019) Association of rosacea with inflammatory bowel disease: A MOOSE-compliant meta-analysis.,3.15e-13,3.24e-07,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,BTNL2",6
COMPARTMENTS,GOCC:0012507,ER to Golgi transport vesicle membrane,1.36e-09,3.92e-07,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",6
PMID,PMID:33005726,(2020) Exploring the genetic relationship between hearing impairment and Alzheimers disease.,5.03e-13,4.18e-07,"APOE,HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA",6
PMID,PMID:35589863,(2022) Genome-wide association of polygenic risk extremes for Alzheimers disease in the UK Biobank.,4.88e-13,4.18e-07,"APOE,HLA-DRB1,ALPK2,TREM2,PICALM,SHARPIN,PLCG2,HESX1",8
SMART,SM00407,Immunoglobulin C-Type,5.62e-10,4.61e-07,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",6
PMID,PMID:37833700,(2023) c-Diadem: a constrained dual-input deep learning model to identify novel biomarkers in Alzheimers disease.,7.5e-13,4.82e-07,"NECTIN2,APOE,HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,PICALM",7
DISEASES,DOID:9351,Diabetes mellitus,2.78e-10,6.39e-07,"KCNQ1,APOE,MTNR1B,APPL1,HLA-DQA1,HLA-DRB1,HLA-DQB1,IGF2BP2",8
RCTM,HSA-202430,Translocation of ZAP-70 to Immunological synapse,6.76e-10,7.72e-07,"HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",5
COMPARTMENTS,GOCC:0030139,Endocytic vesicle,4.27e-09,8.92e-07,"APOE,APPL1,HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,PICALM,HLA-DRA,HLA-DQB2",9
PMID,PMID:22291608,(2012) High-density SNP mapping of the HLA region identifies multiple independent susceptibility loci associated with selective IgA deficiency.,1.7e-12,9.7e-07,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,BTNL2",6
InterPro,IPR003006,"Immunoglobulin/major histocompatibility complex, conserved site",4.25e-10,1.02e-06,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",6
InterPro,IPR011162,MHC classes I/II-like antigen recognition protein,4.89e-10,1.02e-06,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",6
PMID,PMID:30820047,"(2019) Genetic meta-analysis of diagnosed Alzheimers disease identifies new risk loci and implicates Abeta, tau, immunity and lipid processing.",2.24e-12,1.03e-06,"APOE,HLA-DQA1,HLA-DRB1,TREM2,HLA-DQA2,HLA-DQB1,PICALM,PLCG2",8
PMID,PMID:30122875,(2018) Host genetic factors affecting hepatitis B infection outcomes: Insights from genome-wide association studies.,2.98e-12,1.03e-06,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,BTNL2,HLA-DQB2",7
PMID,PMID:31687268,(2019) Recent advances in the genetics of frontotemporal dementia.,2e-12,1.03e-06,"GRN,APOE,HLA-DRB1,TREM2,HLA-DQA2,HLA-DQB1,HLA-DRA,BTNL2",8
PMID,PMID:33152005,(2020) The association of clinical phenotypes to known ADFTD genetic risk loci and their inter-relationship.,2.98e-12,1.03e-06,"GRN,APOE,APH1B,HLA-DRB1,TREM2,PICALM,PLCG2",7
PMID,PMID:32694572,(2020) Genetic architecture of complex traits and disease risk predictors.,2.06e-12,1.03e-06,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,BTNL2,HLA-DQB2",7
PMID,PMID:34122517,(2021) Haplotype Shuffling and Dimorphic Transposable Elements in the Human Extended Major Histocompatibility Complex Class II Region.,2.98e-12,1.03e-06,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,BTNL2,HLA-DQB2",7
PMID,PMID:30245614,(2018) Shared Biological Pathways Between Alzheimers Disease and Ischemic Stroke.,2.48e-12,1.03e-06,"NECTIN2,APOE,HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,PICALM",7
PMID,PMID:35718998,(2022) Identification of potential gene markers in gestational diabetes mellitus.,2.42e-12,1.03e-06,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",6
PMID,PMID:35606148,(2022) Association of APOE-Independent Alzheimer Disease Polygenic Risk Score With Brain Amyloid Deposition in Asymptomatic Older Adults.,3.39e-12,1.03e-06,"APOE,APPL1,IL17RD,TREM2,PLCG2,HESX1",6
PMID,PMID:35982059,(2022) Cross-tissue analysis of blood and brain epigenome-wide association studies in Alzheimers disease.,3.15e-12,1.03e-06,"APOE,HLA-DQA1,HLA-DRB1,TREM2,HLA-DQA2,HLA-DQB1,PICALM,HLA-DRA",8
RCTM,HSA-202427,Phosphorylation of CD3 and TCR zeta chains,1.41e-09,1.07e-06,"HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",5
RCTM,HSA-389948,PD-1 signaling,1.75e-09,1.07e-06,"HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",5
PMID,PMID:32245788,(2020) Detecting Shared Genetic Architecture Among Multiple Phenotypes by Hierarchical Clustering of Gene-Level Association Statistics.,4.21e-12,1.08e-06,"NECTIN2,APOE,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRA,BTNL2",7
Component,GO:0012507,ER to Golgi transport vesicle membrane,4.37e-09,1.12e-06,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",6
PMID,PMID:37303984,(2023) The Role of Cosmetology in an Effective Treatment of Rosacea: A Narrative Review.,4.65e-12,1.14e-06,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,BTNL2",6
PMID,PMID:23326239,(2013) A genome-wide integrative genomic study localizes genetic factors influencing antibodies against Epstein-Barr virus nuclear antigen 1 (EBNA-1).,4.65e-12,1.14e-06,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,BTNL2",6
PMID,PMID:34992629,(2021) The Effect of Alzheimers Disease-Associated Genetic Variants on Longevity.,5.87e-12,1.31e-06,"APOE,APH1B,CDKN2B,TREM2,PICALM,SHARPIN,PLCG2",7
PMID,PMID:30050001,(2018) High-Throughput Approaches onto Uncover (Epi)Genomic Architecture of Type 2 Diabetes.,6.53e-12,1.35e-06,"KCNQ1,MTNR1B,CCND2,CDKN2B,JAZF1,HLA-DQA1,HLA-DQA2,IGF2BP2,GIPR",9
PMID,PMID:33815092,(2021) Genetic Variability in Molecular Pathways Implicated in Alzheimers Disease: A Comprehensive Review.,6.72e-12,1.35e-06,"NECTIN2,APOE,APH1B,ATP8B4,HLA-DRB1,ALPK2,TREM2,PICALM,PLCG2,HESX1",10
PMID,PMID:34976012,(2021) Fine-Mapping of the Major Histocompatibility Complex Region Linked to Leprosy in Northern China.,6.28e-12,1.35e-06,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,BTNL2",6
PMID,PMID:23303446,(2013) Association of generalized vitiligo with MHC class II loci in patients from the Indian subcontinent.,8.36e-12,1.59e-06,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,BTNL2",6
PMID,PMID:34956315,(2021) Genomics and Prognosis Analysis of N(6)-Methyladenosine Regulators in Lung Adenocarcinoma.,9.73e-12,1.79e-06,"IGF2BP3,HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2,IGF2BP2",8
PMID,PMID:28566273,(2017) An Expanded Genome-Wide Association Study of Type 2 Diabetes in Europeans.,1.09e-11,1.93e-06,"KCNQ1,APOE,CCND2,HLA-DQA1,HLA-DQA2,IGF2BP2,GIPR",7
PMID,PMID:22170232,(2012) Amino acid position 11 of HLA-DRbeta1 is a major determinant of chromosome 6p association with ulcerative colitis.,1.1e-11,1.93e-06,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",6
PMID,PMID:10527398,(1999) HLA-DMB gene and HLA-DRA promoter region polymorphisms in Australian multiple sclerosis patients.,1.56e-11,2.36e-06,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA",5
PMID,PMID:30886970,"(2018) A case report of REM sleep behavior disorder, Behcets disease, Sjogrens syndrome and cognitive dysfunction.",1.56e-11,2.36e-06,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA",5
PMID,PMID:38167405,(2024) The HLA-DRB1*09:01-DQB1*03:03 haplotype is associated with the risk for late-onset Alzheimers disease in APOE [Formula: see text]4-negative Japanese adults.,1.43e-11,2.36e-06,"APOE,HLA-DQA1,HLA-DRB1,TREM2,HLA-DQB1,PICALM",6
PMID,PMID:36253972,(2022) Frontotemporal degeneration genetic risk loci and transcription regulation as a possible mechanistic link to disease risk.,1.43e-11,2.36e-06,"GRN,APOE,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",6
PMID,PMID:37407551,(2023) A human leukocyte antigen imputation study uncovers possible genetic interplay between gut inflammatory processes and autism spectrum disorders.,1.43e-11,2.36e-06,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,BTNL2",6
PMID,PMID:34484204,(2021) Haplotype-Specific Expression Analysis of MHC Class II Genes in Healthy Individuals and Rheumatoid Arthritis Patients.,1.43e-11,2.36e-06,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",6
PMID,PMID:37131074,(2023) Step by step: towards a better understanding of the genetic architecture of Alzheimers disease.,1.83e-11,2.54e-06,"IDUA,APOE,ATP8B4,TREM2,PICALM,PLCG2",6
PMID,PMID:37691926,(2023) Simultaneous detection of DNA variation and methylation at HLA class II locus and immune gene promoters using targeted SureSelect Methyl-Sequencing.,1.83e-11,2.54e-06,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",6
PMID,PMID:38152696,(2023) CXCL14 as a potential marker for immunotherapy response prediction in renal cell carcinoma.,1.83e-11,2.54e-06,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",6
PMID,PMID:33853652,(2021) Emerging genetic complexity and rare genetic variants in neurodegenerative brain diseases.,1.99e-11,2.56e-06,"APOE,HLA-DRB1,TREM2,HLA-DQA2,HLA-DQB1,PICALM,HLA-DRA,BTNL2,PLCG2",9
PMID,PMID:34732252,(2021) Dysregulated expression levels of APH1B in peripheral blood are associated with brain atrophy and amyloid-beta deposition in Alzheimers disease.,2.19e-11,2.75e-06,"APOE,APH1B,HLA-DQA1,SNRPD2,HLA-DRB1,HLA-DQA2,HLA-DRA",7
PMID,PMID:37923823,(2023) HLA allele-calling using multi-ancestry whole-exome sequencing from the UK Biobank identifies 129 novel associations in 11 autoimmune diseases.,2.32e-11,2.85e-06,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",6
PMID,PMID:35601672,"(2021) Diabetes, cigarette smoking and transcription factor 7-like 2 (Tcf7L2) in the UK Biobank cohort.",2.32e-11,2.85e-06,"KCNQ1,MTNR1B,CDKN2B,JAZF1,IGF2BP2,GIPR",6
PMID,PMID:35991123,(2022) m6A-Related lncRNA Signature Is Involved in Immunosuppression and Predicts the Patient Prognosis of the Age-Associated Ovarian Cancer.,2.5e-11,2.93e-06,"IGF2BP3,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2,IGF2BP2",7
PMID,PMID:19143815,(2009) MHC fine mapping of human type 1 diabetes using the T1DGC data.,2.67e-11,3.05e-06,"HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRA,BTNL2",5
PMID,PMID:22972380,(2013) Investigation of genetic risk factors for chronic adult diseases for association with preterm birth.,2.67e-11,3.05e-06,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA",5
PMID,PMID:33319170,(2020) Dynamic Neuroimmune Profile during Mid-life Aging in the Female Brain and Implications for Alzheimer Risk.,2.85e-11,3.12e-06,"APOE,HLA-DQA1,HLA-DRB1,TREM2,HLA-DQA2,HLA-DQB1,HLA-DRA",7
PMID,PMID:35317523,(2022) Promoting role of pentraxin-3 in esophageal squamous cell carcinoma.,2.93e-11,3.14e-06,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",6
PMID,PMID:31602270,(2019) Diagnostic and prognostic biomarkers of Human Leukocyte Antigen complex for hepatitis B virus-related hepatocellular carcinoma.,2.93e-11,3.14e-06,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",6
PMID,PMID:21085570,(2010) Genetic evidence implicates the immune system and cholesterol metabolism in the aetiology of Alzheimers disease.,2.93e-11,3.14e-06,"APOE,HLA-DQA1,HLA-DRB1,HLA-DQA2,PICALM,HLA-DRA",6
PMID,PMID:19122664,(2009) Ulcerative colitis-risk loci on chromosomes 1p36 and 12q15 found by genome-wide association study.,2.93e-11,3.14e-06,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,BTNL2",6
Component,GO:0005768,Endosome,1.61e-08,3.33e-06,"GRN,KCNQ1,APOE,APH1B,APPL1,CARMIL1,HLA-DQA1,HLA-DRB1,TSPAN15,HLA-DQA2,HLA-DQB1,PICALM,HLA-DRA,HLA-DQB2",14
Component,GO:0030135,Coated vesicle,1.73e-08,3.33e-06,"IDUA,APOE,HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,PICALM,HLA-DRA,HLA-DQB2",9
PMID,PMID:35406570,(2022) Second MAFA Variant Causing a Phosphorylation Defect in the Transactivation Domain and Familial Insulinomatosis.,3.4e-11,3.36e-06,"KCNQ1,NEUROG3,MTNR1B,CDKN2B,JAZF1,APPL1,IGF2BP2,CDKN1C,GIPR",9
PMID,PMID:36577842,"(2023) Golgi apparatus, endoplasmic reticulum and mitochondrial function implicated in Alzheimers disease through polygenic risk and RNA sequencing.",3.65e-11,3.54e-06,"APOE,APH1B,HLA-DRB1,TREM2,PICALM,PLCG2",6
PMID,PMID:27899424,(2017) Genetic architecture of sporadic frontotemporal dementia and overlap with Alzheimers and Parkinsons diseases.,3.65e-11,3.54e-06,"GRN,NECTIN2,APOE,HLA-DRB1,HLA-DQA2,HLA-DRA",6
PMID,PMID:26919393,(2016) Alzheimers Disease Risk Polymorphisms Regulate Gene Expression in the ZCWPW1 and the CELF1 Loci.,4.14e-11,3.88e-06,"APOE,HLA-DQA1,HLA-DRB1,TREM2,HLA-DQA2,HLA-DQB1,PICALM",7
PMID,PMID:30146738,(2018) Targeted capture sequencing identifies novel genetic variations in Chinese patients with idiopathic inflammatory myopathies.,4.33e-11,3.98e-06,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DQB2",5
PMID,PMID:36092798,(2022) Exploring the role of non-coding RNAs as potential candidate biomarkers in the cross-talk between diabetes mellitus and Alzheimers disease.,4.52e-11,3.98e-06,"KCNQ1,NECTIN2,APOE,HLA-DQA1,HLA-DRB1,BTNL2",6
PMID,PMID:26272072,(2016) An Immunochip-based interaction study of contrasting interaction effects with smoking in ACPA-positive versus ACPA-negative rheumatoid arthritis.,4.33e-11,3.98e-06,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DRA,BTNL2",5
PMID,PMID:20122230,(2010) An automated framework for understanding structural variations in the binding grooves of MHC class II molecules.,4.33e-11,3.98e-06,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA",5
COMPARTMENTS,GOCC:0030133,Transport vesicle,2.52e-08,4.15e-06,"APH1B,HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,PICALM,HLA-DRA,HLA-DQB2",8
Function,GO:0042605,Peptide antigen binding,3.9e-09,4.8e-06,"HLA-DQA1,HLA-DRB1,HLA-DQB1,HLA-DRA,HLA-DQB2",5
NetworkNeighborAL,CL:16224,"Mixed, incl. MHC classes I/II-like antigen recognition protein, and Regulation of natural killer cell mediated immunity",4.59e-09,5.24e-06,"NECTIN2,HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",7
PMID,PMID:20017995,(2009) A principal-components-based clustering method to identify multiple variants associated with rheumatoid arthritis and arthritis-related autoantibodies.,6.72e-11,5.77e-06,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DRA,HLA-DQB2",5
PMID,PMID:36338768,(2022) Phosphogluconate dehydrogenase is a predictive biomarker for immunotherapy in hepatocellular carcinoma.,6.78e-11,5.77e-06,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",6
PMID,PMID:36357561,(2022) Immune and spermatogenesis-related loci are involved in the development of extreme patterns of male infertility.,6.78e-11,5.77e-06,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,BTNL2",6
PMID,PMID:33713768,"(2021) Genome-wide association study of asthma, total IgE, and lung function in a cohort of Peruvian children.",6.78e-11,5.77e-06,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",6
PMID,PMID:33758920,(2021) RNA2HLA: HLA-based quality control of RNA-seq datasets.,6.72e-11,5.77e-06,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA",5
PMID,PMID:29358691,(2018) Re-analysis of public genetic data reveals a rare X-chromosomal variant associated with type 2 diabetes.,6.78e-11,5.77e-06,"NEUROG3,CCND2,HLA-DQA1,HLA-DQA2,IGF2BP2,GIPR",6
