category,term,description,p_value,fdr,genes,gene_count
PMID,PMID:30046115,(2018) Enhancer histone-QTLs are enriched on autoimmune risk haplotypes and influence gene expression within chromatin networks.,7.41e-11,5.78e-06,"JAZF1,CARMIL1,HLA-DRB1,HLA-DQA2,HLA-DQB1,BTNL2,PLCG2",7
Component,GO:0030139,Endocytic vesicle,3.86e-08,6.08e-06,"APOE,APPL1,HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,PICALM,HLA-DRA,HLA-DQB2",9
PMID,PMID:38002954,(2023) Genome-Wide Association Analysis across Endophenotypes in Alzheimers Disease: Main Effects and Disease Stage-Specific Interactions.,8.22e-11,6.31e-06,"NECTIN2,APOE,HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1",6
PMID,PMID:33097708,(2020) Gene expression and functional deficits underlie TREM2-knockout microglia responses in human models of Alzheimers disease.,8.28e-11,6.31e-06,"APOE,HLA-DRB1,TREM2,HLA-DQA2,HLA-DQB1,HLA-DRA,PLCG2",7
PMID,PMID:38022588,(2023) Integrated analysis of single-cell RNA-seq and bulk RNA-seq reveals RNA N6-methyladenosine modification associated with prognosis and drug resistance in acute myeloid leukemia.,1.03e-10,7.51e-06,"IGF2BP3,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2,IGF2BP2",7
PMID,PMID:35685330,(2022) Principles of Virtual Crossmatch Testing for Kidney Transplantation.,1.01e-10,7.51e-06,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA",5
PMID,PMID:29287219,(2018) Comprehensive investigating of cytokine and receptor related genes variants in patients with chronic hepatitis B virus infection.,1.01e-10,7.51e-06,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DQB2",5
PMID,PMID:24884790,(2014) Inference of high resolution HLA types using genome-wide RNA or DNA sequencing reads.,1.01e-10,7.51e-06,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DQB2",5
PMID,PMID:23341919,(2013) Functional relevance for associations between genetic variants and systemic lupus erythematosus.,1.01e-10,7.51e-06,"HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",5
PMID,PMID:33926499,(2021) Protective genes and pathways in Alzheimers disease: moving towards precision interventions.,1.19e-10,8.25e-06,"GRN,APOE,ATP8B4,TREM2,PICALM,PLCG2",6
PMID,PMID:33716638,(2020) Parkinsons Disease: Can Targeting Inflammation Be an Effective Neuroprotective Strategy?,1.19e-10,8.25e-06,"HLA-DQA1,HLA-DRB1,TREM2,HLA-DQA2,HLA-DQB1,HLA-DRA",6
PMID,PMID:28076899,(2017) Genome-Wide Association Analysis Reveals Genetic Heterogeneity of Sjoegrens Syndrome According to Ancestry.,1.19e-10,8.25e-06,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,BTNL2",6
PMID,PMID:31296227,(2019) Integrative genomic and transcriptomic analysis of genetic markers in Dupuytrens disease.,1.46e-10,9.77e-06,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DQB2",5
PMID,PMID:30655385,(2019) Genetic Contribution to the Divergence in Type 1 Diabetes Risk Between Children From the General Population and Children From Affected Families.,1.46e-10,9.77e-06,"HLA-DQA1,HLA-DRB1,HLA-DQB1,HLA-DRA,BTNL2",5
PMID,PMID:32540955,(2020) Ultralow-input single-tube linked-read library method enables short-read second-generation sequencing systems to routinely generate highly accurate and economical long-range sequencing information.,1.46e-10,9.77e-06,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA",5
PMID,PMID:31540313,(2019) HLA-DQB1 and HLA-DRB1 Variants Confer Susceptibility to Latent Autoimmune Diabetes in Adults: Relative Predispositional Effects among Allele Groups.,1.46e-10,9.77e-06,"HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",5
PMID,PMID:35349604,(2022) Computational mining of MHC class II epitopes for the development of universal immunogenic proteins.,1.46e-10,9.77e-06,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA",5
PMID,PMID:31873298,(2020) Identifying cross-disease components of genetic risk across hospital data in the UK Biobank.,1.46e-10,9.77e-06,"APOE,CDKN2B,HLA-DQA1,HLA-DRB1,HLA-DQA2",5
PMID,PMID:38143769,(2023) PANDORA v2.0: Benchmarking peptide-MHC II models and software improvements.,1.46e-10,9.77e-06,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA",5
PMID,PMID:34462158,(2022) HLA repertoire of 115 UAE nationals infected with SARS-CoV-2.,1.46e-10,9.77e-06,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA",5
COMPARTMENTS,GOCC:0032588,trans-Golgi network membrane,7.84e-08,1e-05,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",6
PMID,PMID:19455305,(2009) No association of multiple type 2 diabetes loci with type 1 diabetes.,1.68e-10,1.01e-05,"KCNQ1,CDKN2B,JAZF1,HLA-DRB1,HLA-DQB1,IGF2BP2",6
PMID,PMID:30448613,(2019) Translating Alzheimers disease-associated polymorphisms into functional candidates: a survey of IGAP genes and SNPs.,1.71e-10,1.02e-05,"APOE,HLA-DRB1,HLA-DQA2,HLA-DQB1,PICALM,HLA-DRA,HLA-DQB2",7
PMID,PMID:21421807,"(2011) Effects of 34 risk loci for type 2 diabetes or hyperglycemia on lipoprotein subclasses and their composition in 6,580 nondiabetic Finnish men.",1.98e-10,1.17e-05,"KCNQ1,MTNR1B,CDKN2B,JAZF1,IGF2BP2,GIPR",6
PMID,PMID:22952805,(2012) Genome-wide association study of African and European Americans implicates multiple shared and ethnic specific loci in sarcoidosis susceptibility.,1.98e-10,1.17e-05,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,BTNL2",6
PMID,PMID:26139577,(2016) Transplant immuno-diagnostics: crossmatch and antigen detection.,2.07e-10,1.2e-05,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA",5
PMID,PMID:30223463,(2018) Individualized Transcriptional Resolution of Complicated Malaria in a Colombian Study.,2.07e-10,1.2e-05,"HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",5
PMID,PMID:30600606,(2019) Association of human leukocyte antigens-DQB2DPA1DPB1 polymorphism and pulmonary tuberculosis in the Chinese Uygur population.,2.07e-10,1.2e-05,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DQB2",5
PMID,PMID:36109823,(2022) A review of brain imaging biomarker genomics in Alzheimers disease: implementation and perspectives.,2.08e-10,1.2e-05,"APOE,APH1B,ALPK2,TREM2,PICALM,PLCG2,HESX1",7
PMID,PMID:35769990,(2022) Human Leukocyte Antigen Fine-Mapping and Correlation Analysis of Han and Minority Leprosy Patients in Southern China.,2.07e-10,1.2e-05,"APOE,HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1",5
PMID,PMID:24640693,(2013) [Clinical and genetic characteristics of long-livers in Moscow region].,2.07e-10,1.2e-05,"APOE,HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1",5
PMID,PMID:36111848,(2023) An Extremes of Phenotype Approach Confirms Significant Genetic Heterogeneity in Patients with Ulcerative Colitis.,2.07e-10,1.2e-05,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA",5
PMID,PMID:24598797,(2014) MHC associations with clinical and autoantibody manifestations in European SLE.,2.07e-10,1.2e-05,"HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,BTNL2",5
PMID,PMID:22110171,(2011) Emerging applications of metabolomic and genomic profiling in diabetic clinical medicine.,2.29e-10,1.2e-05,"KCNQ1,MTNR1B,JAZF1,HLA-DQA1,HLA-DRB1,HLA-DQB1,IGF2BP2",7
PMID,PMID:21413052,(2011) Electrostatic modifications of the human leukocyte antigen-DR P9 peptide-binding pocket and susceptibility to primary sclerosing cholangitis.,2.07e-10,1.2e-05,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DRA,BTNL2",5
PMID,PMID:36675312,(2023) Association between HLA DNA Variants and Long-Term Response to Anti-TNF Drugs in a Spanish Pediatric Inflammatory Bowel Disease Cohort.,2.07e-10,1.2e-05,"HLA-DQA1,HLA-DRB1,HLA-DQB1,HLA-DRA,BTNL2",5
PMID,PMID:26151496,(2015) Genetic determinants of antithyroid drug-induced agranulocytosis by human leukocyte antigen genotyping and genome-wide association study.,2.07e-10,1.2e-05,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA",5
Component,GO:0005802,trans-Golgi network,9.22e-08,1.26e-05,"GRN,ATP8B4,HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",8
Component,GO:0032588,trans-Golgi network membrane,1.16e-07,1.49e-05,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",6
HPO,EFO:0004342,Waist circumference,1.31e-09,1.6e-05,"QPCTL,KCNQ1,IDUA,ZC3H4,IGF2BP3,CCND2,JAZF1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRA,BTNL2,HLA-DQB2,IGF2BP2,GIPR",15
Function,GO:0042277,Peptide binding,2.09e-08,2.06e-05,"APOE,HLA-DQA1,HLA-DRB1,TREM2,HLA-DQB1,PICALM,HLA-DRA,HLA-DQB2,GIPR",9
Function,GO:0140375,Immune receptor activity,2.62e-08,2.15e-05,"IL17RD,HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",7
COMPARTMENTS,GOCC:0005802,trans-Golgi network,1.9e-07,2.19e-05,"GRN,HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",7
HPO,EFO:0004302,Anthropometric measurement,4.4e-09,2.68e-05,"QPCTL,KCNQ1,IDUA,NECTIN2,APOE,ZC3H4,MTNR1B,IGF2BP3,CCND2,JADE2,JAZF1,IL17RD,CARMIL1,HLA-DQA1,SNRPD2,HLA-DRB1,ALPK2,HLA-DQA2,HLA-DQB1,HLA-DRA,BTNL2,HLA-DQB2,IGF2BP2,GIPR,EML2,NPAS1,PLCG2",27
Component,GO:0030133,Transport vesicle,2.69e-07,2.9e-05,"KCNQ1,APH1B,HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,PICALM,HLA-DRA,HLA-DQB2",9
DISEASES,DOID:10608,Celiac disease,3.16e-08,2.91e-05,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1",4
HPO,EFO:0008002,Physical activity measurement,2.17e-08,3.24e-05,"KCNQ1,APOE,ZC3H4,JAZF1,HLA-DQB1,HLA-DRA,GIPR",7
HPO,EFO:0004343,Waist-hip ratio,1.2e-08,3.24e-05,"QPCTL,KCNQ1,APOE,JAZF1,IL17RD,CARMIL1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRA,BTNL2,HLA-DQB2,IGF2BP2,GIPR",14
HPO,EFO:0004468,Glucose measurement,1.03e-08,3.24e-05,"QPCTL,KCNQ1,NECTIN2,APOE,MTNR1B,CCND2,JAZF1,CARMIL1,TSPAN15,IGF2BP2,GIPR",11
HPO,EFO:0004509,Hemoglobin measurement,1.75e-08,3.24e-05,"KCNQ1,NECTIN2,APOE,ZC3H4,MTNR1B,CCND2,JAZF1,CARMIL1,HLA-DQA1,TOX2,TSPAN15,SHARPIN,BTNL2,IGF2BP2,GIPR",15
HPO,EFO:0004586,Complete blood cell count,9.36e-09,3.24e-05,"KCNQ1,NECTIN2,APOE,ZC3H4,IGF2BP3,CCND2,JADE2,JAZF1,ATP8B4,CARMIL1,HLA-DQA1,TOX2,HLA-DRB1,ALPK2,TSPAN15,HLA-DQB1,PICALM,HLA-DRA,SHARPIN,BTNL2,IGF2BP2,PLCG2",22
HPO,EFO:0009268,Family history of Alzheimerâ€™s disease,1.06e-08,3.24e-05,"NECTIN2,APOE,APH1B,ALPK2,TREM2,PICALM",6
HPO,EFO:0004541,HbA1c measurement,7.97e-09,3.24e-05,"KCNQ1,NECTIN2,APOE,MTNR1B,CCND2,JAZF1,CARMIL1,TSPAN15,IGF2BP2",9
COMPARTMENTS,GOCC:0005794,Golgi apparatus,3.86e-07,3.75e-05,"QPCTL,GRN,APOE,ATP8B4,IL17RD,CHST15,HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",12
COMPARTMENTS,GOCC:0005886,Plasma membrane,4.85e-07,4.47e-05,"GRN,KCNQ1,NECTIN2,APOE,MTNR1B,APH1B,ATP8B4,APPL1,CARMIL1,HLA-DQA1,HLA-DRB1,TREM2,TSPAN15,HLA-DQA2,HLA-DQB1,SLC22A18,PICALM,HLA-DRA,BTNL2,HLA-DQB2,GIPR,PLCG2",22
HPO,EFO:0004324,Body weights and measures,6.15e-08,6.47e-05,"QPCTL,KCNQ1,IDUA,NECTIN2,APOE,ZC3H4,MTNR1B,IGF2BP3,CCND2,JADE2,JAZF1,IL17RD,CARMIL1,HLA-DQA1,ALPK2,HLA-DQA2,HLA-DQB1,HLA-DRA,BTNL2,HLA-DQB2,IGF2BP2,GIPR,EML2,NPAS1,PLCG2",25
HPO,EFO:0007788,BMI-adjusted waist-hip ratio,5.83e-08,6.47e-05,"KCNQ1,APOE,JAZF1,IL17RD,CARMIL1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRA,BTNL2,HLA-DQB2,IGF2BP2",12
DISEASES,DOID:2978,Carbohydrate metabolic disorder,1.03e-07,7.9e-05,"KCNQ1,APOE,MTNR1B,APPL1,HLA-DQA1,HLA-DRB1,HLA-DQB1,IGF2BP2",8
InterPro,IPR007110,Immunoglobulin-like domain,5.73e-08,8.24e-05,"NECTIN2,HLA-DQA1,HLA-DRB1,ALPK2,TREM2,HLA-DQA2,HLA-DQB1,HLA-DRA,BTNL2,HLA-DQB2",10
InterPro,IPR036179,Immunoglobulin-like domain superfamily,7.06e-08,8.45e-05,"NECTIN2,HLA-DQA1,HLA-DRB1,ALPK2,TREM2,HLA-DQA2,HLA-DQB1,HLA-DRA,BTNL2,HLA-DQB2",10
COMPARTMENTS,GOCC:0005768,Endosome,1.21e-06,0.0001,"GRN,KCNQ1,APOE,APPL1,CARMIL1,HLA-DQA1,HLA-DRB1,HLA-DQB1,PICALM,HLA-DRA",10
Component,GO:0000139,Golgi membrane,1.1e-06,0.00011,"QPCTL,APH1B,IL17RD,CHST15,HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",10
COMPARTMENTS,GOCC:0098797,Plasma membrane protein complex,1.4e-06,0.00011,"KCNQ1,APOE,APH1B,HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,PICALM,HLA-DRA,HLA-DQB2",10
Process,GO:0002696,Positive regulation of leukocyte activation,1.12e-07,0.00013,"NECTIN2,HLA-DQA1,HLA-DRB1,TREM2,HLA-DQA2,HLA-DQB1,HLA-DRA,BTNL2,HLA-DQB2",9
Process,GO:0050865,Regulation of cell activation,1.02e-07,0.00013,"GRN,NECTIN2,APOE,HLA-DQA1,HLA-DRB1,TREM2,HLA-DQA2,HLA-DQB1,HLA-DRA,BTNL2,HLA-DQB2",11
HPO,EFO:1002011,Adult onset asthma,1.44e-07,0.00013,"APOE,JAZF1,HLA-DQA1,HLA-DRB1,HLA-DQB1",5
Component,GO:0010008,Endosome membrane,1.83e-06,0.00016,"APH1B,APPL1,HLA-DQA1,HLA-DRB1,TSPAN15,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",9
HPO,EFO:0007987,Granulocyte count,2.53e-07,0.00021,"NECTIN2,APOE,IGF2BP3,JADE2,JAZF1,ATP8B4,HLA-DQA1,TOX2,HLA-DRB1,ALPK2,TSPAN15,HLA-DQB1,HLA-DRA,SHARPIN",14
Process,GO:0048523,Negative regulation of cellular process,2.09e-07,0.00022,"GRN,KCNQ1,NEUROG3,APOE,ZC3H4,MTNR1B,IGF2BP3,CCND2,CDKN2B,JAZF1,APPL1,IL17RD,CARMIL1,HLA-DRB1,ALPK2,TREM2,TSPAN15,PICALM,BTNL2,IGF2BP2,CDKN1C,GIPR,EML2,NPAS1,PLCG2,HESX1",26
HPO,EFO:0004512,Bone measurement,3.54e-07,0.00025,"KCNQ1,IDUA,NECTIN2,APOE,ZC3H4,IGF2BP3,CCND2,JAZF1,CARMIL1,HLA-DQA1,HLA-DRB1,ALPK2,HLA-DQB1,HLA-DRA,BTNL2,HLA-DQB2,IGF2BP2,GIPR",18
HPO,EFO:0005093,Hip circumference,3.52e-07,0.00025,"KCNQ1,ZC3H4,IGF2BP3,JAZF1,HLA-DQA1,ALPK2,HLA-DQB1,HLA-DRA,BTNL2,HLA-DQB2,IGF2BP2,GIPR",12
HPO,EFO:0004308,Leukocyte count,4.2e-07,0.00026,"NECTIN2,APOE,IGF2BP3,CCND2,JADE2,JAZF1,ATP8B4,HLA-DQA1,TOX2,HLA-DRB1,ALPK2,TSPAN15,HLA-DQB1,HLA-DRA,SHARPIN,BTNL2,PLCG2",17
InterPro,IPR013783,Immunoglobulin-like fold,2.94e-07,0.0003,"IDUA,NECTIN2,HLA-DQA1,HLA-DRB1,ALPK2,TREM2,HLA-DQA2,HLA-DQB1,HLA-DRA,BTNL2,HLA-DQB2",11
Component,GO:0098797,Plasma membrane protein complex,3.69e-06,0.0003,"KCNQ1,APH1B,HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,PICALM,HLA-DRA,HLA-DQB2",9
WikiPathways,WP4217,Ebola virus infection in host,3.92e-07,0.00031,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",6
SMART,SM00920,"Class II histocompatibility antigen, alpha domain",7.46e-07,0.00031,"HLA-DQA1,HLA-DQA2,HLA-DRA",3
HPO,EFO:0004503,Hematological measurement,5.55e-07,0.00032,"KCNQ1,IDUA,NECTIN2,APOE,ZC3H4,MTNR1B,IGF2BP3,CCND2,JADE2,JAZF1,ATP8B4,CARMIL1,HLA-DQA1,TOX2,HLA-DRB1,ALPK2,TSPAN15,HLA-DQB1,PICALM,HLA-DRA,SHARPIN,BTNL2,IGF2BP2,GIPR,PLCG2",25
HPO,EFO:0004570,Bilirubin measurement,5.97e-07,0.00033,"NECTIN2,APOE,CCND2,JAZF1,CARMIL1,SLC22A18",6
Component,GO:0030659,Cytoplasmic vesicle membrane,4.93e-06,0.00038,"KCNQ1,APOE,APH1B,ATP8B4,APPL1,HLA-DQA1,HLA-DRB1,TSPAN15,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",12
Component,GO:0005794,Golgi apparatus,4.77e-06,0.00038,"QPCTL,GRN,APOE,APH1B,ATP8B4,IL17RD,CHST15,HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,PICALM,HLA-DRA,HLA-DQB2",14
Component,GO:0097708,Intracellular vesicle,5.81e-06,0.00042,"GRN,KCNQ1,IDUA,APOE,APH1B,ATP8B4,APPL1,CARMIL1,HLA-DQA1,HLA-DRB1,TSPAN15,HLA-DQA2,HLA-DQB1,PICALM,HLA-DRA,HLA-DQB2,PLCG2",17
DISEASES,DOID:8881,Rosacea,7.46e-07,0.00043,"HLA-DQA1,HLA-DRB1,HLA-DQB1",3
HPO,EFO:0004747,Protein measurement,8.64e-07,0.00044,"QPCTL,GRN,KCNQ1,IDUA,NECTIN2,APOE,ZC3H4,MTNR1B,IGF2BP3,CCND2,JADE2,JAZF1,ATP8B4,IL17RD,CARMIL1,HLA-DQA1,TOX2,HLA-DRB1,TREM2,TSPAN15,HLA-DQB1,SLC22A18,HLA-DRA,SHARPIN,BTNL2,IGF2BP2,GIPR,PLCG2",28
Process,GO:0002694,Regulation of leukocyte activation,4.51e-07,0.00044,"GRN,NECTIN2,HLA-DQA1,HLA-DRB1,TREM2,HLA-DQA2,HLA-DQB1,HLA-DRA,BTNL2,HLA-DQB2",10
Process,GO:0048519,Negative regulation of biological process,4.88e-07,0.00045,"GRN,KCNQ1,NEUROG3,APOE,ZC3H4,MTNR1B,IGF2BP3,CCND2,CDKN2B,JAZF1,APPL1,IL17RD,CARMIL1,HLA-DRB1,ALPK2,TREM2,TSPAN15,PICALM,SHARPIN,BTNL2,IGF2BP2,CDKN1C,GIPR,EML2,NPAS1,PLCG2,HESX1",27
HPO,EFO:0009924,Drugs used in diabetes use measurement,9.92e-07,0.00048,"KCNQ1,CCND2,JAZF1,IGF2BP2",4
SMART,SM00921,"Class II histocompatibility antigen, beta domain",1.94e-06,0.00053,"HLA-DRB1,HLA-DQB1,HLA-DQB2",3
DISEASES,DOID:10976,Membranous glomerulonephritis,1.06e-06,0.00054,"HLA-DQA1,HLA-DRB1,HLA-DQA2",3
RCTM,HSA-877300,Interferon gamma signaling,1.71e-06,0.00056,"HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",5
RCTM,HSA-202424,Downstream TCR signaling,1.9e-06,0.00056,"HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",5
COMPARTMENTS,GOCC:0000139,Golgi membrane,7.47e-06,0.00057,"CHST15,HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",7
WikiPathways,WP2328,Allograft rejection,1.54e-06,0.0006,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA",5
COMPARTMENTS,GOCC:0012505,Endomembrane system,8.19e-06,0.00061,"QPCTL,GRN,KCNQ1,APOE,CCND2,APH1B,ATP8B4,APPL1,IL17RD,CARMIL1,CHST15,HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,SLC22A18,PICALM,HLA-DRA,HLA-DQB2",19
COMPARTMENTS,GOCC:0031410,Cytoplasmic vesicle,8.69e-06,0.00063,"GRN,KCNQ1,APOE,APH1B,ATP8B4,APPL1,CARMIL1,HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,PICALM,HLA-DRA,HLA-DQB2",14
InterPro,IPR001003,"MHC class II, alpha chain, N-terminal",7.46e-07,0.00067,"HLA-DQA1,HLA-DQA2,HLA-DRA",3
DISEASES,DOID:11714,Gestational diabetes,1.94e-06,0.00089,"KCNQ1,MTNR1B,IGF2BP2",3
Process,GO:0050870,Positive regulation of T cell activation,1.1e-06,0.00096,"HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,BTNL2,HLA-DQB2",7
HPO,EFO:0004307,Glucose tolerance test,2.06e-06,0.00096,"KCNQ1,MTNR1B,IGF2BP2,GIPR",4
Process,GO:0050776,Regulation of immune response,1.18e-06,0.00097,"GRN,NECTIN2,APOE,APPL1,HLA-DRB1,TREM2,HLA-DQB1,HLA-DRA,BTNL2,HLA-DQB2,PLCG2",11
HPO,EFO:0007937,Blood protein measurement,2.57e-06,0.0011,"QPCTL,GRN,IDUA,NECTIN2,APOE,CCND2,JAZF1,ATP8B4,IL17RD,CARMIL1,HLA-DQA1,HLA-DRB1,HLA-DQB1,BTNL2,PLCG2",15
HPO,EFO:0006514,Alzheimers disease biomarker measurement,2.5e-06,0.0011,"KCNQ1,NECTIN2,APOE,ZC3H4,APH1B,ALPK2,TREM2,PICALM",8
HPO,EFO:0004555,Glycoprotein measurement,2.59e-06,0.0011,"KCNQ1,NECTIN2,APOE,MTNR1B,CCND2,JADE2,JAZF1,CARMIL1,TSPAN15,HLA-DRA,IGF2BP2",11
COMPARTMENTS,GOCC:0031982,Vesicle,1.82e-05,0.0012,"GRN,KCNQ1,APOE,APH1B,ATP8B4,APPL1,CARMIL1,HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,PICALM,HLA-DRA,HLA-DQB2,PLCG2",15
COMPARTMENTS,GOCC:0030659,Cytoplasmic vesicle membrane,1.87e-05,0.0012,"APOE,ATP8B4,APPL1,HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",9
Component,GO:0098588,Bounding membrane of organelle,1.82e-05,0.0012,"QPCTL,GRN,APOE,APH1B,ATP8B4,APPL1,IL17RD,CHST15,HLA-DQA1,HLA-DRB1,TSPAN15,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",15
DISEASES,DOID:8986,Narcolepsy,3.21e-06,0.0012,"HLA-DQA1,HLA-DRB1,HLA-DQB1",3
HPO,EFO:0000408,Disease,3.55e-06,0.0014,"KCNQ1,NECTIN2,APOE,JAZF1,APPL1,HLA-DQA1,TOX2,HLA-DRB1,TREM2,HLA-DQA2,HLA-DQB1,HLA-DRA,PLCG2",13
Component,GO:0005764,Lysosome,2.39e-05,0.0015,"GRN,KCNQ1,IDUA,HLA-DQA1,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",9
HPO,EFO:0006848,Mental or behavioural disorder biomarker,3.72e-06,0.0015,"KCNQ1,NECTIN2,APOE,ZC3H4,APH1B,ATP8B4,CARMIL1,HLA-DRB1,ALPK2,TREM2,PICALM,BTNL2,HLA-DQB2,PLCG2",14
Keyword,KW-0458,Lysosome,4.66e-06,0.0016,"GRN,IDUA,HLA-DRB1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DQB2",7
Component,GO:0031410,Cytoplasmic vesicle,2.66e-05,0.0016,"GRN,KCNQ1,IDUA,APOE,APH1B,ATP8B4,APPL1,CARMIL1,HLA-DQA1,HLA-DRB1,TSPAN15,HLA-DQA2,HLA-DQB1,PICALM,HLA-DRA,HLA-DQB2",16
