gene_name,snp_count,best_pvalue,max_risk_score,max_combined_score,min_distance,gene_id,gene_rank
APOC2,555,2.51189e-111,0.575141021607952,0.9778972337352204,0,ENSG00000234906,1
APOC1,1240,2.51189e-111,0.575141021607952,0.9778972337352204,0,ENSG00000130208,2
CLPTM1,1210,2.51189e-111,0.575141021607952,0.9778972337352204,0,ENSG00000104853,3
CTB-129P6.11,103,2.51189e-111,0.575141021607952,0.9778972337352204,0,ENSG00000267114,4
PVRL2,1452,2.51189e-111,0.575141021607952,0.9778972337352204,0,ENSG00000130202,5
APOC4,260,2.51189e-111,0.575141021607952,0.9778972337352204,0,ENSG00000267467,6
APOC4-APOC2,260,2.51189e-111,0.575141021607952,0.9778972337352204,0,ENSG00000224916,7
TOMM40,1272,2.51189e-111,0.575141021607952,0.9778972337352204,0,ENSG00000130204,8
APOE,945,2.51189e-111,0.575141021607952,0.9778972337352204,0,ENSG00000130203,9
BCAM,1180,1.1436700000000002e-100,0.3875404467811686,0.6891003566505008,0,ENSG00000187244,10
BCL3,189,1.1436700000000002e-100,0.3875404467811686,0.6891003566505008,1301,ENSG00000069399,11
CBLC,62,1.1436700000000002e-100,0.3875404467811686,0.6891003566505008,0,ENSG00000142273,12
TREM2,39,1.394e-27,0.4155678454511333,0.6378610108965549,0,ENSG00000095970,13
TREML1,39,1.394e-27,0.4155678454511333,0.6378610108965549,7132,ENSG00000161911,14
TREML2,46,1.394e-27,0.4155678454511333,0.6378610108965549,0,ENSG00000112195,15
CYP27C1,4,5.369e-20,0.4010270621716653,0.6241047540122546,47598,ENSG00000186684,16
BIN1,203,4.053e-24,0.4010270621716653,0.6241047540122546,0,ENSG00000136717,17
ALPK2,6,3.30474e-08,0.4096576111200808,0.6119534449503451,0,ENSG00000198796,18
FAM203A,12,2.934e-12,0.3983415940666998,0.6071322386470348,34065,ENSG00000235173,19
EXOSC4,15,2.934e-12,0.3983415940666998,0.6071322386470348,8916,ENSG00000178896,20
GPAA1,90,2.934e-12,0.3983415940666998,0.6071322386470348,12880,ENSG00000197858,21
KIAA1875,12,2.934e-12,0.3983415940666998,0.6071322386470348,4022,ENSG00000179698,22
MAF1,18,2.934e-12,0.3983415940666998,0.6071322386470348,795,ENSG00000179632,23
MROH1,22,2.934e-12,0.3983415940666998,0.6071322386470348,44312,ENSG00000179832,24
CYC1,16,2.934e-12,0.3983415940666998,0.6071322386470348,1794,ENSG00000179091,25
OPLAH,25,2.934e-12,0.3983415940666998,0.6071322386470348,0,ENSG00000178814,26
SHARPIN,40,2.934e-12,0.3983415940666998,0.6071322386470348,0,ENSG00000179526,27
PLCG2,208,2.207e-12,0.3598878235590035,0.5621341574546235,0,ENSG00000197943,28
PICALM,974,9.404e-25,0.3322308604733799,0.5586292403078866,0,ENSG00000073921,29
ATP8B4,54,5.117e-10,0.3497755112803415,0.5507219812892565,0,ENSG00000104043,30
FGFRL1,35,5.036e-10,0.3416415428428426,0.5419699546926289,16381,ENSG00000127418,31
TMEM175,114,5.036e-10,0.3416415428428426,0.5419699546926289,1071,ENSG00000127419,32
DGKQ,30,5.036e-10,0.3416415428428426,0.5419699546926289,0,ENSG00000145214,33
IDUA,66,5.036e-10,0.3416415428428426,0.5419699546926289,0,ENSG00000127415,34
SLC26A1,24,5.036e-10,0.3416415428428426,0.5419699546926289,115,ENSG00000145217,35
APH1B,18,1.746e-21,0.3161727115212608,0.5353784278950623,0,ENSG00000138613,36
CA12,12,1.746e-21,0.3161727115212608,0.5353784278950623,41757,ENSG00000074410,37
RAB8B,10,1.746e-21,0.3161727115212608,0.5353784278950623,9921,ENSG00000166128,38
ZYX,320,3.997e-16,0.3180041031320512,0.5275996341522625,10903,ENSG00000159840,39
TAS2R60,32,3.997e-16,0.3180041031320512,0.5275996341522625,8363,ENSG00000185899,40
EPHA1,224,3.997e-16,0.3180041031320512,0.5275996341522625,0,ENSG00000146904,41
IL17RD,6,1.237e-08,0.3301257748864561,0.527031631522141,21816,ENSG00000144730,42
APPL1,8,1.237e-08,0.3301257748864561,0.527031631522141,35615,ENSG00000157500,43
HESX1,3,1.237e-08,0.3301257748864561,0.527031631522141,5794,ENSG00000163666,44
FAM171A2,4,1.756e-12,0.3154725509768599,0.5182435871793409,339,ENSG00000161682,45
SLC25A39,14,1.756e-12,0.3154725509768599,0.5182435871793409,28006,ENSG00000013306,46
GPATCH8,9,1.756e-12,0.3154725509768599,0.5182435871793409,42408,ENSG00000186566,47
GRN,15,1.756e-12,0.3154725509768599,0.5182435871793409,0,ENSG00000030582,48
ITGA2B,10,1.756e-12,0.3154725509768599,0.5182435871793409,19304,ENSG00000005961,49
RUNDC3A,7,1.756e-12,0.3154725509768599,0.5182435871793409,34205,ENSG00000108309,50
CMIP,63,2.207e-12,0.3056555615433381,0.505272915631223,26049,ENSG00000153815,51
PRDM7,8,1.283e-11,0.3039097695443929,0.5042127432398936,7484,ENSG00000126856,52
AC011530.4,6,5.75572e-15,0.2972363500838788,0.4905469843743606,2938,ENSG00000268434,53
SNRPD2,128,1.29628e-24,0.2972363500838788,0.4905469843743606,10271,ENSG00000125743,54
SIX5,9,5.75572e-15,0.2972363500838788,0.4905469843743606,2140,ENSG00000177045,55
FBXO46,36,1.84417e-15,0.2972363500838788,0.4905469843743606,962,ENSG00000177051,56
AC074212.3,9,5.75572e-15,0.2972363500838788,0.4905469843743606,0,ENSG00000237452,57
DMWD,21,5.75572e-15,0.2972363500838788,0.4905469843743606,6448,ENSG00000185800,58
DMPK,57,5.75572e-15,0.2972363500838788,0.4905469843743606,0,ENSG00000104936,59
QPCTL,56,1.06635e-16,0.2972363500838788,0.4905469843743606,0,ENSG00000011478,60
UNC5CL,18,1.017e-27,0.2617776587894194,0.4881101986115176,13920,ENSG00000124602,61
ZNF296,20,2.06205e-22,0.2784499584838283,0.485761609400845,2556,ENSG00000170684,62
CLASRP,560,8.72971e-38,0.2784499584838283,0.485761609400845,0,ENSG00000104859,63
RELB,390,8.72971e-38,0.2784499584838283,0.485761609400845,0,ENSG00000104856,64
MARK4,972,2.09315e-38,0.2784499584838283,0.485761609400845,0,ENSG00000007047,65
GEMIN7,120,6.452e-24,0.2784499584838283,0.485761609400845,0,ENSG00000142252,66
SORL1,143,4.976e-11,0.2791479935423487,0.476459983266654,0,ENSG00000137642,67
HIF3A,256,5.00035e-24,0.2564172231323423,0.4608650366117828,0,ENSG00000124440,68
PPP5C,75,4.9693500000000004e-18,0.2564172231323423,0.4608650366117828,0,ENSG00000011485,69
ABCA1,6,9.538e-09,0.2586367996495186,0.4502052092836239,0,ENSG00000165029,70
NCK2,6,7.885e-11,0.2487203743189558,0.4433093940717485,0,ENSG00000071051,71
GPX4,117,2.405e-11,0.2479143443097727,0.44162645858126,3043,ENSG00000167468,72
SBNO2,99,2.405e-11,0.2479143443097727,0.44162645858126,6743,ENSG00000064932,73
CNN2,207,1.645e-14,0.2479143443097727,0.44162645858126,118,ENSG00000064666,74
HMHA1,384,1.645e-14,0.2479143443097727,0.44162645858126,0,ENSG00000180448,75
ABCA7,384,1.645e-14,0.2479143443097727,0.44162645858126,0,ENSG00000064687,76
POLR2E,207,1.645e-14,0.2479143443097727,0.44162645858126,4977,ENSG00000099817,77
TMEM259,255,1.645e-14,0.2479143443097727,0.44162645858126,0,ENSG00000182087,78
MME,28,2.142e-08,0.250045966781294,0.4403089681352976,0,ENSG00000196549,79
RIN3,33,2.54389e-09,0.243887606357808,0.4331606516925764,41263,ENSG00000100599,80
SLC24A4,27,2.54389e-09,0.243887606357808,0.4331606516925764,0,ENSG00000140090,81
CKM,17,2.09315e-38,0.1920683828189625,0.4324405915033245,0,ENSG00000104879,82
ERCC2,204,2.09315e-38,0.1920683828189625,0.4324405915033245,0,ENSG00000104884,83
KLC3,119,2.09315e-38,0.1920683828189625,0.4324405915033245,0,ENSG00000104892,84
L47234.1,17,2.09315e-38,0.1920683828189625,0.4324405915033245,2592,ENSG00000268341,85
DSG2,2,4.63e-08,0.2402553860179641,0.4291501622063466,0,ENSG00000046604,86
DSG3,1,4.63e-08,0.2402553860179641,0.4291501622063466,30293,ENSG00000134757,87
FBXO33,3,1.396e-08,0.2366385205919971,0.4262002908086797,0,ENSG00000165355,88
CTAGE5,13,1.396e-08,0.2366385205919971,0.4262002908086797,31520,ENSG00000150527,89
IGSF23,96,4.76431e-21,0.2143125036168971,0.4248272514496207,0,ENSG00000216588,90
SEC61G,6,2.046e-09,0.2328773315983905,0.4236649395879743,88613,ENSG00000132432,91
BZRAP1,24,9.901e-09,0.2291645275932624,0.4184182892280662,3889,ENSG00000005379,92
RNF43,18,9.901e-09,0.2291645275932624,0.4184182892280662,0,ENSG00000108375,93
SUPT4H1,14,9.901e-09,0.2291645275932624,0.4184182892280662,10088,ENSG00000213246,94
ZNF233,216,3.70851e-43,0.169793238919742,0.4135112289288531,13083,ENSG00000159915,95
ZNF227,675,3.70851e-43,0.169793238919742,0.4135112289288531,0,ENSG00000131115,96
ZNF235,360,3.70851e-43,0.169793238919742,0.4135112289288531,0,ENSG00000159917,97
ZNF226,1230,3.70851e-43,0.169793238919742,0.4135112289288531,0,ENSG00000167380,98
HLA-DQB2,40,2.255e-10,0.2206322783361434,0.4122131495574249,38325,ENSG00000232629,99
HLA-DQB1,476,4.624e-17,0.2206322783361434,0.4122131495574249,16036,ENSG00000179344,100
HLA-DQA2,10,2.255e-10,0.2206322783361434,0.4122131495574249,23569,ENSG00000237541,101
RBPJL,2,1.04542e-08,0.2223063406769982,0.4109853904005699,7576,ENSG00000124232,102
SDC4,1,1.04542e-08,0.2223063406769982,0.4109853904005699,26013,ENSG00000124145,103
SLPI,1,1.04542e-08,0.2223063406769982,0.4109853904005699,44710,ENSG00000124107,104
MATN4,3,1.04542e-08,0.2223063406769982,0.4109853904005699,0,ENSG00000124159,105
RP11-297N6.4,4,5.462e-09,0.2123284394655354,0.4007468529970158,14820,ENSG00000255046,106
FDFT1,42,5.462e-09,0.2123284394655354,0.4007468529970158,0,ENSG00000079459,107
CTSB,62,5.462e-09,0.2123284394655354,0.4007468529970158,0,ENSG00000164733,108
SCARA3,22,1.495e-33,0.1684099004718219,0.3981159808364064,22882,ENSG00000168077,109
CLU,187,1.495e-33,0.1684099004718219,0.3981159808364064,0,ENSG00000120885,110
ABI3,4,5.379e-13,0.1985330303400077,0.3931720864265231,0,ENSG00000108798,111
GNGT2,5,5.379e-13,0.1985330303400077,0.3931720864265231,9361,ENSG00000167083,112
PHOSPHO1,6,5.379e-13,0.1985330303400077,0.3931720864265231,3427,ENSG00000173868,113
B4GALNT2,3,5.379e-13,0.1985330303400077,0.3931720864265231,49946,ENSG00000167080,114
C2CD4C,2,2.10615e-08,0.2013254176111121,0.3877326142168405,6311,ENSG00000183186,115
THEG,8,2.10615e-08,0.2013254176111121,0.3877326142168405,22488,ENSG00000105549,116
SHC2,16,2.10615e-08,0.2013254176111121,0.3877326142168405,17456,ENSG00000129946,117
KIAA0125,13,3.38e-10,0.1955225665994447,0.3848367357467799,147695,ENSG00000226777,118
PABPC1,132,1.785e-08,0.1977071807019607,0.3840561692504108,17752,ENSG00000070756,119
SNX31,42,1.785e-08,0.1977071807019607,0.3840561692504108,0,ENSG00000174226,120
MEF2C,22,3.225e-08,0.1966694548477717,0.3824705584127608,23498,ENSG00000081189,121
USP21,100,1.196e-08,0.1884164939868865,0.3742758620238969,4438,ENSG00000143258,122
FCER1G,21,1.048e-08,0.1884164939868865,0.3742758620238969,0,ENSG00000158869,123
UFC1,54,1.264e-08,0.1884164939868865,0.3742758620238969,11203,ENSG00000143222,124
B4GALT3,110,1.048e-08,0.1884164939868865,0.3742758620238969,0,ENSG00000158850,125
TOMM40L,40,1.048e-08,0.1884164939868865,0.3742758620238969,8128,ENSG00000158882,126
NR1I3,65,1.048e-08,0.1884164939868865,0.3742758620238969,11791,ENSG00000143257,127
AL590714.1,6,1.048e-08,0.1884164939868865,0.3742758620238969,2495,ENSG00000268387,128
ADAMTS4,30,1.048e-08,0.1884164939868865,0.3742758620238969,0,ENSG00000158859,129
PPOX,209,1.048e-08,0.1884164939868865,0.3742758620238969,0,ENSG00000143224,130
NDUFS2,105,1.048e-08,0.1884164939868865,0.3742758620238969,873,ENSG00000158864,131
APOA2,48,1.048e-08,0.1884164939868865,0.3742758620238969,4417,ENSG00000158874,132
MS4A4E,96,2.415e-16,0.1840204482820349,0.3742430862115544,0,ENSG00000214787,133
MS4A6A,546,5.906e-15,0.1840204482820349,0.3742430862115544,0,ENSG00000110077,134
EED,11,4.205e-33,0.1827091491946259,0.3733103991476305,86946,ENSG00000074266,135
CD33,15,6.33697e-09,0.1843348652691759,0.3704653827671955,0,ENSG00000105383,136
SIGLECL1,18,6.33697e-09,0.1843348652691759,0.3704653827671955,13220,ENSG00000179213,137
OPA3,114,1.6974600000000002e-28,0.1479335444469682,0.359788817557422,0,ENSG00000125741,138
GIPR,182,1.29628e-24,0.1479335444469682,0.359788817557422,5898,ENSG00000010310,139
GPR4,56,1.6974600000000002e-28,0.1479335444469682,0.359788817557422,0,ENSG00000177464,140
EML2,957,1.6974600000000002e-28,0.1479335444469682,0.359788817557422,0,ENSG00000125746,141
C19orf83,75,1.29628e-24,0.1479335444469682,0.359788817557422,3075,ENSG00000267757,142
PPP1R37,260,8.569e-29,0.1538345279949392,0.3591611992526894,0,ENSG00000104866,143
AC008394.1,18,8.579e-14,0.1650639838072045,0.3585586753641783,211965,ENSG00000233828,144
TANC2,80,3.474e-16,0.1537548518003492,0.3507261393652747,40719,ENSG00000170921,145
KCNH6,30,3.474e-16,0.1537548518003492,0.3507261393652747,39932,ENSG00000173826,146
CYB561,209,3.474e-16,0.1537548518003492,0.3507261393652747,22040,ENSG00000008283,147
ACE,220,3.474e-16,0.1537548518003492,0.3507261393652747,0,ENSG00000159640,148
SCIMP,36,6.585e-13,0.1582870324997763,0.3496075783882383,0,ENSG00000161929,149
ZNF594,60,6.585e-13,0.1582870324997763,0.3496075783882383,0,ENSG00000180626,150
INPP5D,640,1.043e-17,0.1490393226200041,0.3484153276320532,0,ENSG00000168918,151
PPP1R13L,117,3.1174499999999998e-25,0.1353516216410003,0.3473574691615792,23008,ENSG00000104881,152
SPI1,440,3.277e-12,0.1613115308234113,0.3471316342798631,0,ENSG00000066336,153
MADD,935,8.211e-12,0.1613115308234113,0.3471316342798631,8124,ENSG00000110514,154
MYBPC3,78,3.277e-12,0.1613115308234113,0.3471316342798631,0,ENSG00000134571,155
RTN2,220,1.19978e-24,0.1357719558937935,0.3467454120788187,2452,ENSG00000125744,156
PPM1N,160,1.19978e-24,0.1357719558937935,0.3467454120788187,5940,ENSG00000213889,157
VASP,187,1.19978e-24,0.1357719558937935,0.3467454120788187,0,ENSG00000125753,158
FOSB,104,1.19978e-24,0.1357719558937935,0.3467454120788187,1212,ENSG00000125740,159
ERCC1,255,1.19978e-24,0.1357719558937935,0.3467454120788187,0,ENSG00000012061,160
RASGEF1C,30,3.38e-12,0.1551927951708732,0.345019081037925,0,ENSG00000146090,161
MAPK9,55,3.38e-12,0.1551927951708732,0.345019081037925,25528,ENSG00000050748,162
RPS9,36,3.159e-09,0.1547943293196182,0.3391845280193536,13193,ENSG00000170889,163
LILRB5,24,3.159e-09,0.1547943293196182,0.3391845280193536,4891,ENSG00000105609,164
LILRB3,32,3.159e-09,0.1547943293196182,0.3391845280193536,19453,ENSG00000204577,165
LILRB2,28,3.159e-09,0.1547943293196182,0.3391845280193536,6224,ENSG00000131042,166
LILRA6,24,3.159e-09,0.1547943293196182,0.3391845280193536,19406,ENSG00000244482,167
LILRA5,10,3.159e-09,0.1547943293196182,0.3391845280193536,46902,ENSG00000187116,168
LILRA3,12,3.159e-09,0.1547943293196182,0.3391845280193536,28403,ENSG00000170866,169
TRAPPC6A,195,8.569e-29,0.1383315116833887,0.33347853503587,0,ENSG00000007255,170
AC006126.3,71,8.569e-29,0.1383315116833887,0.33347853503587,0,ENSG00000266958,171
AC005779.2,73,8.569e-29,0.1383315116833887,0.33347853503587,0,ENSG00000267545,172
EXOC3L2,136,8.569e-29,0.1383315116833887,0.33347853503587,0,ENSG00000130201,173
NKPD1,60,8.569e-29,0.1383315116833887,0.33347853503587,2320,ENSG00000179846,174
BLOC1S3,292,8.569e-29,0.1383315116833887,0.33347853503587,9,ENSG00000189114,175
ZNF234,336,5.41627e-43,0.1100996977880041,0.3311720617608977,0,ENSG00000263002,176
ZNF224,272,5.41627e-43,0.1100996977880041,0.3311720617608977,0,ENSG00000267680,177
ZNF225,300,5.41627e-43,0.1100996977880041,0.3311720617608977,0,ENSG00000256294,178
ZNF223,195,1.05099e-42,0.1100996977880041,0.3306128205301629,0,ENSG00000267022,179
ZNF284,30,1.05099e-42,0.1100996977880041,0.3306128205301629,0,ENSG00000186026,180
CEACAM16,24,6.774e-43,0.0913950652600008,0.3267530612750553,0,ENSG00000213892,181
PTK2B,85,3.273e-09,0.1390861263267615,0.3210944294761029,0,ENSG00000120899,182
ECHDC3,5,2.866e-12,0.1323917022888297,0.3205804589501753,63246,ENSG00000134463,183
ZNF112,25,2.51304e-22,0.1149109932274513,0.3200436597192577,0,ENSG00000062370,184
CTC-512J12.6,6,2.51304e-22,0.1149109932274513,0.3200436597192577,0,ENSG00000267173,185
ZNF229,25,2.51304e-22,0.1149109932274513,0.3200436597192577,0,ENSG00000167383,186
ZNF285,30,2.51304e-22,0.1149109932274513,0.3200436597192577,142,ENSG00000267508,187
IGFL1,39,5.00035e-24,0.1102122962575453,0.3168844338238118,1020,ENSG00000188293,188
APP,499,1.017e-09,0.1342156697915597,0.3152540440432293,0,ENSG00000142192,189
CR1L,70,2.645e-14,0.1339686099029587,0.3147268416732323,11728,ENSG00000197721,190
CR1,154,3.93e-15,0.1339686099029587,0.3147268416732323,0,ENSG00000203710,191
STRN4,46,2.3297e-12,0.1247312272815466,0.3124881080791071,36952,ENSG00000090372,192
DACT3,12,2.3297e-12,0.1247312272815466,0.3124881080791071,0,ENSG00000197380,193
PRKD2,68,2.3297e-12,0.1247312272815466,0.3124881080791071,0,ENSG00000105287,194
GNG8,6,2.3297e-12,0.1247312272815466,0.3124881080791071,9539,ENSG00000167414,195
INO80E,583,4.613e-12,0.123921061662212,0.311076934811872,0,ENSG00000169592,196
DOC2A,864,4.613e-12,0.123921061662212,0.311076934811872,0,ENSG00000149927,197
TMEM219,248,4.613e-12,0.123921061662212,0.311076934811872,0,ENSG00000149932,198
FAM57B,294,4.613e-12,0.123921061662212,0.311076934811872,0,ENSG00000149926,199
ALDOA,1066,4.613e-12,0.123921061662212,0.311076934811872,0,ENSG00000149925,200
TAOK2,288,4.613e-12,0.123921061662212,0.311076934811872,0,ENSG00000149930,201
HIRIP3,357,4.613e-12,0.123921061662212,0.311076934811872,569,ENSG00000149929,202
C16orf92,147,4.613e-12,0.123921061662212,0.311076934811872,0,ENSG00000167194,203
C10orf40,15,2.742e-08,0.1295920166220969,0.3100773156793799,5242,ENSG00000235931,204
PILRA,40,1.291e-10,0.1249736231194671,0.3095783330540197,0,ENSG00000085514,205
SPDYE3,2,1.291e-10,0.1249736231194671,0.3095783330540197,12230,ENSG00000214300,206
PILRB,96,1.291e-10,0.1249736231194671,0.3095783330540197,1688,ENSG00000121716,207
CNTNAP2,52,2.096e-09,0.1254202460148052,0.3078570925645564,0,ENSG00000174469,208
CASS4,60,4.837e-16,0.1142300104284703,0.3077291292325854,0,ENSG00000087589,209
CSTF1,84,4.837e-16,0.1142300104284703,0.3077291292325854,3557,ENSG00000101138,210
AURKA,110,4.837e-16,0.1142300104284703,0.3077291292325854,15682,ENSG00000087586,211
FAM210B,14,5.819e-16,0.1142300104284703,0.3077291292325854,39356,ENSG00000124098,212
NPAS1,24,4.59727e-12,0.1185731595211878,0.3053170824049359,0,ENSG00000130751,213
TMEM160,3,4.59727e-12,0.1185731595211878,0.3053170824049359,12181,ENSG00000130748,214
ARHGAP35,35,4.59727e-12,0.1185731595211878,0.3053170824049359,0,ENSG00000160007,215
ZC3H4,20,4.59727e-12,0.1185731595211878,0.3053170824049359,0,ENSG00000130749,216
ZCWPW1,56,2.139e-10,0.1213001420823133,0.3051199117108643,0,ENSG00000078487,217
TRIM35,16,3.273e-09,0.113658142969384,0.2948308341588134,26285,ENSG00000104228,218
ADAMTS1,14,1.718e-09,0.1127643345495809,0.2943770557719159,44980,ENSG00000154734,219
ARID3A,96,1.0173e-09,0.1124820485150174,0.2941189398391892,0,ENSG00000116017,220
MED16,104,1.62073e-09,0.1124820485150174,0.2941189398391892,0,ENSG00000175221,221
