gene_name,snp_count,best_pvalue,max_risk_score,max_combined_score,min_distance,gene_id,gene_rank,ensembl_id,biotype,description,uniprot_ids,omim_ids,hgnc_id,entrez_id
ZNF45,75,2.03798e-28,0.0554143928957472,0.2670168229422295,0,ENSG00000124459,274,,,,,,,
PPP1R35,30,2.008e-17,0.0688890554401969,0.2615329892655462,20326,ENSG00000160813,275,,,,,,,
MEPCE,24,2.008e-17,0.0688890554401969,0.2615329892655462,13834,ENSG00000146834,276,,,,,,,
CLCN1,4,1.417e-11,0.078618090479505,0.2613745787865959,49931,ENSG00000188037,277,,,,,,,
HLA-DRB1,213,3.134e-17,0.0808292361413225,0.2608808219145083,0,ENSG00000196126,278,,,,,,,
HLA-DQA1,1351,3.134e-17,0.0808292361413225,0.2608808219145083,0,ENSG00000196735,279,,,,,,,
ZNF575,145,2.0090900000000001e-19,0.0696732679987852,0.2597741752323912,0,ENSG00000176472,280,,,,,,,
LYPD3,96,8.4839900000000015e-19,0.0696732679987852,0.2597741752323912,0,ENSG00000124466,281,,,,,,,
ETHE1,222,2.0090900000000001e-19,0.0696732679987852,0.2597741752323912,0,ENSG00000105755,282,,,,,,,
PHLDB3,296,2.0090900000000001e-19,0.0696732679987852,0.2597741752323912,0,ENSG00000176531,283,,,,,,,
ZNF404,30,1.48765e-26,0.0517468645525259,0.2596745782579528,1646,ENSG00000176222,284,,,,,,,
NOVA2,45,1.24595e-23,0.0587810970110866,0.259655984136793,0,ENSG00000104967,285,,,,,,,
NEIL2,6,2.346e-08,0.0787462011272981,0.2556555921102811,30042,ENSG00000154328,286,,,,,,,
NANOS2,7,1.24595e-23,0.0490466924364462,0.2512076202242106,3092,ENSG00000188425,287,,,,,,,
SYMPK,72,1.6857800000000002e-23,0.0529558476510758,0.2512076202242106,13533,ENSG00000125755,288,,,,,,,
MYPOP,7,1.24595e-23,0.0490466924364462,0.2512076202242106,9008,ENSG00000176182,289,,,,,,,
IRF2BP1,6,1.6857800000000002e-23,0.0490466924364462,0.2512076202242106,2596,ENSG00000170604,290,,,,,,,
FOXA3,8,1.6857800000000002e-23,0.0490466924364462,0.2512076202242106,3026,ENSG00000170608,291,,,,,,,
RABEP1,369,6.585e-13,0.0652703772985472,0.2494170625266505,0,ENSG00000029725,292,,,,,,,
ZFP3,10,4.459e-11,0.0726813125672277,0.24869763199898,0,ENSG00000180787,293,,,,,,,
ZNF232,112,4.459e-11,0.0726813125672277,0.24869763199898,0,ENSG00000167840,294,,,,,,,
USP6,100,7.778e-13,0.0726813125672277,0.24869763199898,0,ENSG00000129204,295,,,,,,,
MS4A7,33,5.354e-13,0.063749040123441,0.2479413042625023,42570,ENSG00000166927,296,,,,,,,
MS4A14,30,5.354e-13,0.063749040123441,0.2479413042625023,42618,ENSG00000166928,297,,,,,,,
MS4A6E,36,1.208e-14,0.063749040123441,0.2479413042625023,0,ENSG00000166926,298,,,,,,,
CR2,25,7.613e-15,0.0695709740439198,0.2461707207699398,20952,ENSG00000117322,299,,,,,,,
KANSL1,11747,1.366e-10,0.0663551658850778,0.2461597497540993,0,ENSG00000120071,300,,,,,,,
ATP8B3,133,6.143e-09,0.0680688463410436,0.2450799348078286,407,ENSG00000130270,301,,,,,,,
REXO1,133,6.143e-09,0.0680688463410436,0.2450799348078286,0,ENSG00000079313,302,,,,,,,
KLF16,57,6.143e-09,0.0680688463410436,0.2450799348078286,0,ENSG00000129911,303,,,,,,,
ABHD17A,90,6.143e-09,0.0680688463410436,0.2450799348078286,20255,ENSG00000129968,304,,,,,,,
NDUFAF6,1071,1.819e-09,0.066422385800075,0.2443318229637759,0,ENSG00000156170,305,,,,,,,
TP53INP1,180,1.819e-09,0.066422385800075,0.2443318229637759,0,ENSG00000164938,306,,,,,,,
ADAT3,6,1.458e-08,0.0675672506663218,0.2439857457373039,48823,ENSG00000213638,307,,,,,,,
SCAMP4,24,1.458e-08,0.0675672506663218,0.2439857457373039,48659,ENSG00000227500,308,,,,,,,
CD3EAP,24,2.42159e-14,0.0563093157513962,0.2423472397808777,41249,ENSG00000117877,309,,,,,,,
CD2AP,116,4.686e-13,0.0647118592092365,0.2411515470873674,0,ENSG00000198087,310,,,,,,,
GPR111,8,4.686e-13,0.0573501154314781,0.2411515470873674,29017,ENSG00000164393,311,,,,,,,
IGFL2,140,2.1183599999999997e-20,0.045118772252624,0.2409395459665169,0,ENSG00000204866,312,,,,,,,
RSPH6A,6,5.75572e-15,0.0529558476510758,0.2398931740293444,19211,ENSG00000104941,313,,,,,,,
IGFL3,16,2.4717199999999998e-20,0.0430800299270781,0.2390173009655337,4663,ENSG00000188624,314,,,,,,,
RAPSN,330,7.841e-12,0.0521976262351446,0.2333732239699614,0,ENSG00000165917,315,,,,,,,
PSG6,24,4.64633e-09,0.0576453515953238,0.232658145051698,30776,ENSG00000170848,316,,,,,,,
HS3ST5,21,2.78e-08,0.0574751235590209,0.2326011312806896,15716,ENSG00000249853,317,,,,,,,
TREM1,185,1.729e-11,0.0521383268953639,0.232253799712629,0,ENSG00000124731,318,,,,,,,
TREML4,141,3.268e-12,0.0521383268953639,0.232253799712629,0,ENSG00000188056,319,,,,,,,
WDR18,40,1.0173e-09,0.0563128706114874,0.2310957728880055,24099,ENSG00000065268,320,,,,,,,
AC004528.1,9,1.0173e-09,0.0563128706114874,0.2310957728880055,18716,ENSG00000269169,321,,,,,,,
AZU1,24,4.28667e-09,0.0544681493825583,0.2308383428180185,0,ENSG00000172232,322,,,,,,,
CELF1,840,2.279e-11,0.0507209749371369,0.2307117961110965,0,ENSG00000149187,323,,,,,,,
ATG16L1,357,3.363e-10,0.0532128171123069,0.2298172562428343,36313,ENSG00000085978,324,,,,,,,
HLA-DRB5,23,2.24e-09,0.0526223792342866,0.2289532616765937,0,ENSG00000198502,325,,,,,,,
GCNT7,4,2.21998e-09,0.0490283133048312,0.22549670158094,26011,ENSG00000124091,326,,,,,,,
COX7C,3,7.16e-13,0.04260769966967,0.2249310812325938,270002,ENSG00000127184,327,,,,,,,
OARD1,90,8.352e-16,0.0371886320397064,0.2244287867238709,0,ENSG00000124596,328,,,,,,,
APOBEC2,6,8.352e-16,0.0371886320397064,0.2244287867238709,195,ENSG00000124701,329,,,,,,,
TSPO2,15,8.352e-16,0.0371886320397064,0.2244287867238709,8772,ENSG00000112212,330,,,,,,,
NFYA,12,8.352e-16,0.0371886320397064,0.2244287867238709,0,ENSG00000001167,331,,,,,,,
PLEC,15,5.02e-11,0.0449031068602813,0.224045968600138,46818,ENSG00000178209,332,,,,,,,
CEACAM7,8,8.96004e-09,0.0484750845814574,0.2231003567180004,3938,ENSG00000007306,333,,,,,,,
CEACAM4,2,8.96004e-09,0.0484750845814574,0.2231003567180004,9378,ENSG00000105352,334,,,,,,,
CEACAM21,5,2.16636e-08,0.0484750845814574,0.2231003567180004,49623,ENSG00000007129,335,,,,,,,
PNMAL1,6,4.54046e-16,0.0311310091166945,0.2183831019521448,11366,ENSG00000182013,336,,,,,,,
AC011484.1,3,4.54046e-16,0.0311310091166945,0.2183831019521448,11579,ENSG00000204850,337,,,,,,,
PNMAL2,9,4.54046e-16,0.0311310091166945,0.2183831019521448,3977,ENSG00000204851,338,,,,,,,
PPP5D1,35,4.54046e-16,0.0311310091166945,0.2183831019521448,0,ENSG00000230510,339,,,,,,,
GCNT4,2,2.776e-08,0.0442484357368915,0.2183500503813759,39148,ENSG00000176928,340,,,,,,,
ANKRD31,6,2.776e-08,0.0442484357368915,0.2183500503813759,0,ENSG00000145700,341,,,,,,,
ZNF646,4,3.234e-08,0.0441023599688592,0.2180719755825457,27054,ENSG00000167395,342,,,,,,,
PRSS8,16,7.711e-10,0.0441023599688592,0.2180719755825457,7275,ENSG00000052344,343,,,,,,,
ZNF668,9,3.234e-08,0.0441023599688592,0.2180719755825457,36930,ENSG00000167394,344,,,,,,,
KAT8,24,7.711e-10,0.0441023599688592,0.2180719755825457,4504,ENSG00000103510,345,,,,,,,
VKORC1,16,7.711e-10,0.0441023599688592,0.2180719755825457,15270,ENSG00000167397,346,,,,,,,
BCKDK,28,7.711e-10,0.0441023599688592,0.2180719755825457,0,ENSG00000103507,347,,,,,,,
RP11-196G11.1,6,7.711e-10,0.0441023599688592,0.2180719755825457,16294,ENSG00000255439,348,,,,,,,
PRSS36,32,7.711e-10,0.0441023599688592,0.2180719755825457,0,ENSG00000178226,349,,,,,,,
PRSS53,3,3.234e-08,0.0441023599688592,0.2180719755825457,21622,ENSG00000151006,350,,,,,,,
CCDC8,5,5.56545e-16,0.030589407894908,0.217638659373495,16727,ENSG00000169515,351,,,,,,,
RNF111,91,1.785e-10,0.0414846669876968,0.2170529459914595,0,ENSG00000157450,352,,,,,,,
TEX101,48,2.1707e-11,0.0425390834903216,0.216328228147283,17485,ENSG00000131126,353,,,,,,,
YPEL3,96,2.158e-11,0.035474503296849,0.214553457812631,9017,ENSG00000090238,354,,,,,,,
TBX6,48,2.158e-11,0.035474503296849,0.214553457812631,3335,ENSG00000149922,355,,,,,,,
PPP4C,264,1.985e-11,0.035474503296849,0.214553457812631,0,ENSG00000149923,356,,,,,,,
NIT1,84,2.206e-08,0.038008088783482,0.2117946824298519,8210,ENSG00000158793,357,,,,,,,
DEDD,72,2.206e-08,0.038008088783482,0.2117946824298519,967,ENSG00000158796,358,,,,,,,
PVRL4,6,2.242e-08,0.038008088783482,0.2117946824298519,44056,ENSG00000143217,359,,,,,,,
PFDN2,8,2.206e-08,0.038008088783482,0.2117946824298519,15544,ENSG00000143256,360,,,,,,,
KLHDC9,28,2.206e-08,0.038008088783482,0.2117946824298519,33309,ENSG00000162755,361,,,,,,,
GAK,100,8.39e-09,0.0357226817926283,0.2101087911053267,27354,ENSG00000178950,362,,,,,,,
GDPD3,15,4.089e-11,0.0305131600646056,0.2087023944958049,0,ENSG00000102886,363,,,,,,,
MAPK3,26,5.002e-11,0.030377992625211,0.208397488547619,8173,ENSG00000102882,364,,,,,,,
LRFN2,3,4.912e-13,0.0264931549694481,0.2078648723012126,151162,ENSG00000156564,365,,,,,,,
PTBP1,228,3.16512e-08,0.0314766243824917,0.2044843163337598,0,ENSG00000011304,366,,,,,,,
PALM,99,3.16512e-08,0.0314766243824917,0.2044843163337598,0,ENSG00000099864,367,,,,,,,
MISP,11,3.16512e-08,0.0314766243824917,0.2044843163337598,0,ENSG00000099812,368,,,,,,,
KCNN4,8,1.47809e-11,0.0250940318080704,0.2036671795259044,23355,ENSG00000104783,369,,,,,,,
ZNF283,8,1.47809e-11,0.0250940318080704,0.2036671795259044,22680,ENSG00000167637,370,,,,,,,
LYPD5,8,1.47809e-11,0.0250940318080704,0.2036671795259044,0,ENSG00000159871,371,,,,,,,
SMG9,24,1.47809e-11,0.0250940318080704,0.2036671795259044,39865,ENSG00000105771,372,,,,,,,
FUS,36,7.711e-10,0.0275232532604168,0.203159850858936,27900,ENSG00000089280,373,,,,,,,
AC011551.3,8,5.94155e-12,0.0265266772652853,0.201556212078613,19414,ENSG00000268423,374,,,,,,,
PTGIR,16,5.94155e-12,0.0265266772652853,0.201556212078613,190,ENSG00000160013,375,,,,,,,
CALM3,52,5.94155e-12,0.0265266772652853,0.201556212078613,9482,ENSG00000160014,376,,,,,,,
FSTL3,7,4.85937e-08,0.0287123502779252,0.2011669341213768,46943,ENSG00000070404,377,,,,,,,
PRSS57,1,4.85937e-08,0.0287123502779252,0.2011669341213768,34868,ENSG00000185198,378,,,,,,,
LPPR3,33,3.30005e-08,0.0282237099504788,0.2009419951165638,4281,ENSG00000129951,379,,,,,,,
NCR2,3,2.036e-11,0.0213869214869562,0.1994195822149695,47196,ENSG00000096264,380,,,,,,,
ONECUT3,2,2.114e-08,0.0263272231174857,0.1992545951972553,31695,ENSG00000205922,381,,,,,,,
WNT3,124,2.571e-09,0.0245178904361947,0.1988141441741645,0,ENSG00000108379,382,,,,,,,
NSF,297,2.571e-09,0.0245178904361947,0.1988141441741645,0,ENSG00000073969,383,,,,,,,
TMEM121,2,3.628e-09,0.0245389982515394,0.1985741454742894,177722,ENSG00000184986,384,,,,,,,
NUP88,377,7.309e-11,0.0214320337905177,0.1984582004432779,0,ENSG00000108559,385,,,,,,,
GNPNAT1,35,9.392e-09,0.0243555733560024,0.1977711836931239,35933,ENSG00000100522,386,,,,,,,
FAM180B,28,4.246e-10,0.0218962601673426,0.1975680682835756,1715,ENSG00000196666,387,,,,,,,
KBTBD4,139,4.246e-10,0.0218962601673426,0.1975680682835756,2162,ENSG00000123444,388,,,,,,,
NDUFS3,192,4.246e-10,0.0218962601673426,0.1975680682835756,0,ENSG00000213619,389,,,,,,,
MTCH2,105,4.246e-10,0.0218962601673426,0.1975680682835756,0,ENSG00000109919,390,,,,,,,
PTPMT1,60,4.246e-10,0.0218962601673426,0.1975680682835756,606,ENSG00000110536,391,,,,,,,
C1QTNF4,30,4.246e-10,0.0218962601673426,0.1975680682835756,4733,ENSG00000172247,392,,,,,,,
STH,356,2.126e-09,0.0222165569081968,0.1966402779037118,0,ENSG00000256762,393,,,,,,,
MAPT,9190,2.126e-09,0.0222165569081968,0.1966402779037118,0,ENSG00000186868,394,,,,,,,
KCTD13,54,3.308e-10,0.0201906004099761,0.1959274249844596,32479,ENSG00000174943,395,,,,,,,
ASPHD1,4,3.308e-10,0.0201906004099761,0.1959274249844596,39650,ENSG00000174939,396,,,,,,,
IRGC,4,9.21489e-10,0.0208327525504138,0.1958098071661536,24726,ENSG00000124449,397,,,,,,,
TAS2R41,11,5.529e-10,0.0199662582811682,0.1952797830269839,42783,ENSG00000221855,398,,,,,,,
SLC1A5,24,2.5633e-11,0.0211824011249549,0.1949564283243882,17079,ENSG00000105281,399,,,,,,,
AP2S1,60,2.5633e-11,0.0211824011249549,0.1949564283243882,1605,ENSG00000042753,400,,,,,,,
FKRP,27,2.5633e-11,0.0211824011249549,0.1949564283243882,28685,ENSG00000181027,401,,,,,,,
C6orf10,220,8.8636e-10,0.0192723568452257,0.1941591401053023,970,ENSG00000204296,402,,,,,,,
HLA-DRA,228,8.8636e-10,0.0192723568452257,0.1941591401053023,0,ENSG00000204287,403,,,,,,,
BTNL2,294,8.8636e-10,0.0192723568452257,0.1941591401053023,0,ENSG00000204290,404,,,,,,,
MS4A2,36,8.13842e-10,0.020568083403489,0.1937154636814864,0,ENSG00000149534,405,,,,,,,
MS4A3,112,8.13842e-10,0.0188140498295924,0.1937154636814864,17427,ENSG00000149516,406,,,,,,,
SLTM,105,1.61568e-08,0.0209171635876835,0.1936374977334426,0,ENSG00000137776,407,,,,,,,
OOSP2,9,8.71786e-10,0.0187459985048977,0.1936050717590446,40511,ENSG00000149507,408,,,,,,,
C16orf98,1,9.697e-10,0.0185457097802082,0.1933051407542645,49675,ENSG00000261359,409,,,,,,,
PYCARD,4,9.697e-10,0.0185457097802082,0.1933051407542645,49275,ENSG00000103490,410,,,,,,,
INTS8,76,1.724e-08,0.0191763272623539,0.1916026002339937,17503,ENSG00000164941,411,,,,,,,
CCNE2,40,1.724e-08,0.0191763272623539,0.1916026002339937,2571,ENSG00000175305,412,,,,,,,
WNT9B,6,4.359e-09,0.017381037690536,0.1908624605963507,44964,ENSG00000158955,413,,,,,,,
CRHR1,3960,4.438e-09,0.0173298322613508,0.1907930917455951,0,ENSG00000120088,414,,,,,,,
FNBP4,80,4.397e-09,0.0170821033466691,0.190533489445548,0,ENSG00000109920,415,,,,,,,
AGBL2,180,4.397e-09,0.0172931721647451,0.190533489445548,0,ENSG00000165923,416,,,,,,,
ARL17B,204,6.175e-09,0.0169812717904223,0.1901564929225819,0,ENSG00000228696,417,,,,,,,
LRRC37A,69,6.175e-09,0.0169812717904223,0.1901564929225819,4612,ENSG00000176681,418,,,,,,,
NUP160,24,7.887e-09,0.0164371639332879,0.1893768260441477,45192,ENSG00000030066,419,,,,,,,
BBC3,12,7.67096e-09,0.0164055571351569,0.1893647161556407,0,ENSG00000105327,420,,,,,,,
CCDC9,18,7.67096e-09,0.0164055571351569,0.1893647161556407,9913,ENSG00000105321,421,,,,,,,
SAE1,48,7.67096e-09,0.0164055571351569,0.1893647161556407,0,ENSG00000142230,422,,,,,,,
PRR24,2,7.67096e-09,0.0164055571351569,0.1893647161556407,6144,ENSG00000257704,423,,,,,,,
LCORL,6,1.035e-08,0.0160380818661284,0.1887320433000236,0,ENSG00000178177,424,,,,,,,
SPPL2C,377,1.841e-08,0.0166735016161463,0.1886696374071898,0,ENSG00000185294,425,,,,,,,
SLC52A1,5,4.79443e-08,0.0159861791784754,0.1874646712339361,43903,ENSG00000132517,426,,,,,,,
C5AR1,3,2.44191e-08,0.0153028431989647,0.1872614920322489,8157,ENSG00000197405,427,,,,,,,
CCDC83,4,6.216e-13,0.0244129779884142,0.0195998542081478,40188,ENSG00000150676,428,,,,,,,
HCST,6,2.08444e-10,0.0193620212027965,0.0094664183990064,1296,ENSG00000126264,429,,,,,,,
KIRREL2,15,2.08444e-10,0.0193620212027965,0.0094664183990064,33970,ENSG00000126259,430,,,,,,,
NPHS1,15,2.08444e-10,0.0193620212027965,0.0094664183990064,31792,ENSG00000161270,431,,,,,,,
NFKBID,36,2.08444e-10,0.0193620212027965,0.0094664183990064,0,ENSG00000167604,432,,,,,,,
TYROBP,12,2.08444e-10,0.0193620212027965,0.0094664183990064,0,ENSG00000011600,433,,,,,,,
LRFN3,12,2.08444e-10,0.0193620212027965,0.0094664183990064,29473,ENSG00000126243,434,,,,,,,
APLP1,33,2.08444e-10,0.0193620212027965,0.0094664183990064,21288,ENSG00000105290,435,,,,,,,
CEACAM5,7,8.96004e-09,0.0160953801030551,0.0029658405036624,39207,ENSG00000105388,436,,,,,,,
CEA,2,8.96004e-09,0.0160953801030551,0.0029658405036624,39234,ENSG00000267881,437,,,,,,,
PSG1,33,1.8505e-08,0.0154654218211377,0.0017212051388855,13833,ENSG00000231924,438,,,,,,,
PSG8,27,1.8505e-08,0.0154654218211377,0.0017212051388855,0,ENSG00000124467,439,,,,,,,
POU2F2,17,2.97961e-08,0.0150516811536811,0.0008911512140785,0,ENSG00000028277,440,,,,,,,
PSG11,13,3.30248e-08,0.0149623196076333,0.0007277381799078,15447,ENSG00000243130,441,,,,,,,
FAM231C,1,3.82279e-08,0.0148352391174571,0.000466495547546,45404,ENSG00000268991,442,,,,,,,
CROCC,13,3.82279e-08,0.0148352391174571,0.000466495547546,0,ENSG00000058453,443,,,,,,,
